         Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np    
                           nT         nT         nT         nT        km/s       cm^3   
1998  123    177365      12.09      11.26       0.65      -4.35      531.6       18.8
1998  123    276499      12.19      11.31       0.38      -4.53      529.2       15.4
1998  123    372629      12.13      11.27       0.14      -4.47      529.1       16.2
1998  123    468760      12.24      11.15      -1.48      -4.71      528.1       14.7
1998  123    567683      12.26      10.87      -2.53      -5.01      528.2       16.2
1998  123    664024      12.10      11.08      -0.80      -4.63      529.8       18.2
1998  123    760120      11.92      11.14       0.48      -4.18      531.1       23.8
1998  123    856285      12.01      11.28       0.69      -4.05      528.7       21.0
1998  123    952415      11.98      11.19       0.88      -4.17      528.5       21.9
1998  123   1064927      11.95      11.09       1.45      -4.22      529.5       27.1
1998  123   1141672      11.77      10.85       0.91      -4.25      529.1       26.0
1998  123   1234798      11.69      10.92       0.81      -4.04      527.1       25.3
1998  123   1329427      11.73      10.59       2.37      -4.34      526.3       27.1
1998  123   1427059      11.71      10.71       1.07      -4.49      527.7       23.3
1998  123   1521687      11.65      10.32       3.12      -4.39      526.1       28.3
1998  123   1619320      11.70      10.63       2.47      -4.20      526.9       25.6
1998  123   1715450      11.58      10.60       2.18      -4.13      527.3       30.2
1998  123   1810078      11.60      10.57       2.16      -4.28      525.1       29.1
1998  123   1906209      11.64      10.53       2.12      -4.47      525.1       29.4
1998  123   2019540      11.59      10.58       1.95      -4.29      522.7       43.1
1998  123   2095465      11.49      10.63       1.65      -4.04      524.2       29.4
1998  123   2188556      11.40      10.67       1.24      -3.82      523.9       31.3
1998  123   2284722      11.26      10.51       1.41      -3.77      523.6       31.5
1998  123   2380852      11.18      10.38       1.49      -3.87      523.6       31.6
1998  123   2476983      11.17      10.35       1.51      -3.91      524.0       31.1
1998  123   2573113      11.18      10.38       1.41      -3.91      523.0       30.6
1998  123   2669243      11.19      10.42       1.32      -3.87      523.5       29.6
1998  123   2768378      11.13      10.36       1.27      -3.84      523.4       31.2
1998  123   2864508      11.05      10.27       1.30      -3.85      523.3       31.5
1998  123   2977839      10.98      10.17       1.43      -3.89      520.8       47.4
1998  123   3053765      10.99      10.18       1.43      -3.88      522.8       30.2
1998  123   3146891      10.98      10.18       1.32      -3.90      522.8       29.2
1998  123   3243020      10.95      10.14       1.42      -3.88      522.9       29.2
1998  123   3339152      10.77       9.92       1.80      -3.78      521.1       31.4
1998  123   3435281      10.73       9.91       1.75      -3.73      521.7       30.3
1998  123   3531413      10.74       9.91       1.92      -3.66      521.6       29.4
1998  123   3627507      10.68       9.81       1.98      -3.71      519.3       30.3
1998  123   3723673      10.70       9.91       1.41      -3.75      519.7       28.8
1998  123   3819803      10.65       9.84       1.50      -3.76      519.3       28.0
1998  123   3933135      10.53       9.68       1.76      -3.75      518.2       41.1
1998  123   4006020      10.51       9.68       1.74      -3.71      518.9       27.2
1998  123   4099146      10.47       9.55       1.91      -3.82      518.5       25.5
1998  123   4195277      10.41       9.58       1.56      -3.75      518.1       25.6
1998  123   4291408      10.27       9.47       1.70      -3.58      519.2       28.7
1998  123   4387538      10.27       9.47       1.80      -3.53      518.9       27.3
1998  123   4483493      10.22       9.45       2.09      -3.27      518.8       27.2
1998  123   4579833      10.22       9.34       1.39      -3.90      519.0       26.5
1998  123   4675930      10.16       9.37       1.39      -3.65      518.7       27.8
1998  123   4772095      10.24       9.54       1.32      -3.45      518.4       24.8
1998  123   4885426      10.21       9.38       1.55      -3.73      515.6       35.3
1998  123   4961315      10.15       9.24       1.74      -3.82      517.2       25.0
1998  123   5054478      10.11       9.33       1.51      -3.58      517.5       27.0
1998  123   5150607      10.14       9.34       1.66      -3.57      517.1       26.6
1998  123   5249743      10.17       9.37       1.64      -3.60      516.2       25.7
1998  123   5344336      10.23       9.38       1.69      -3.71      513.7       24.9
1998  123   5440465      10.25       9.43       1.63      -3.66      513.9       24.6
1998  123   5536632      10.24       9.43       1.54      -3.70      514.1       25.3
1998  123   5632762      10.24       9.36       1.58      -3.84      513.3       24.4
1998  123   5731896      10.25       9.30       1.39      -4.05      513.2       24.2
1998  123   5846051      10.27       9.43       1.49      -3.78      513.9       24.2
1998  123   5921152      10.35       9.60       1.31      -3.62      513.8       23.1
1998  123   6015746      10.40       9.57       1.49      -3.81      516.1       24.3
1998  123   6110375      10.45       9.49       1.68      -4.04      514.3       24.5
1998  123   6208041      10.42       9.52       1.81      -3.84      516.1       24.7
1998  123   6302669      10.47       9.64       1.69      -3.70      514.3       23.8
1998  123   6400092      10.53       9.72       1.75      -3.63      516.5       23.1
1998  123   6494931      10.55       9.96       1.56      -3.07      513.7       23.8
1998  123   6590851      10.55      10.01       1.51      -2.96      514.7       24.2
1998  123   6686980      10.53      10.09       1.34      -2.70      515.2       25.7
1998  123   6801311      10.35       9.86       1.24      -2.88      517.9       29.8
1998  123   6877915      10.33       9.81       1.03      -3.05      518.0       28.4
1998  123   6971041      10.05       9.49       1.25      -3.05      518.9       35.5
1998  123   7067171      10.15       9.56       1.21      -3.21      516.7       29.1
1998  123   7161660      10.32       9.57       1.00      -3.73      514.2       25.1
1998  123   7257966      10.30       9.51       0.98      -3.84      513.3       23.4
1998  123   7354061      10.26       9.42       1.27      -3.85      514.1       27.9
1998  123   7453231      10.26       9.46       1.25      -3.76      513.4       24.2
1998  123   7550828      10.16       9.27       1.31      -3.92      516.4       27.0
1998  123   7645280       9.83       8.68       1.96      -4.17      511.5       37.4
1998  123   7759435       9.69       8.71       1.89      -3.77      512.3       37.0
1998  123   7834572       9.55       8.82       0.99      -3.51      513.4       45.2
1998  123   7930667       9.24       8.20       0.93      -4.14      514.3       55.6
1998  123   8027009       9.10       8.07       1.25      -3.99      514.2       57.9
1998  123   8122928       9.13       8.17       1.21      -3.87      513.5       56.1
1998  123   8510664       9.81       9.01       0.26      -3.86      510.0       23.3
1998  123   8717735       9.82       8.70       1.46      -4.32      510.0       20.4
1998  123   8791370       9.81       8.67       1.38      -4.36      509.6       20.6
1998  123   8887500       9.69       8.62       1.22      -4.25      508.4       20.9
1998  123   8983771       9.63       8.61       1.13      -4.16      508.7       21.4
1998  123   9079901       9.58       8.52       1.35      -4.15      508.7       22.3
1998  123   9176032       9.57       8.46       1.41      -4.23      508.6       22.7
1998  123   9271986       9.54       8.51       1.17      -4.15      508.6       24.2
1998  123   9368328       9.51       8.49       1.10      -4.12      508.9       24.5
1998  123   9464423       9.52       8.51       0.90      -4.17      508.1       25.5
1998  123   9560553       9.63       8.65       1.06      -4.11      507.7       27.2
1998  123   9673206       9.70       8.68       1.13      -4.17      507.1       26.2
1998  123   9746841       9.82       8.75       1.52      -4.19      508.7       25.6
1998  123   9842936       9.85       8.76       1.39      -4.28      507.5       27.4
1998  123   9939067       9.83       8.74       1.21      -4.33      507.3       29.3
1998  123  10134366       9.74       8.70       0.90      -4.29      507.2       31.3
1998  123  10230498       9.77       8.76       0.63      -4.27      507.4       30.5
1998  123  10326627       9.80       8.78       0.98      -4.22      506.9       29.1
1998  123  10422757       9.85       8.91       0.40      -4.18      507.2       28.6
1998  123  10518853       9.70       8.65      -0.32      -4.38      507.2       36.3
1998  123  10631540       9.67       8.60       1.44      -4.17      507.9       41.4
1998  123  10706642       9.52       8.52       1.11      -4.09      508.5       45.6
1998  123  10802773       9.64       8.53       1.29      -4.29      508.5       43.7
1998  123  10897401       9.70       8.54       1.38      -4.38      507.0       38.6
1998  123  10995033       9.70       8.58       1.18      -4.36      508.4       40.2
1998  123  11089662       9.74       8.84       0.69      -4.00      506.7       35.8
1998  123  11185757       9.70       8.92       0.28      -3.78      507.1       38.9
1998  123  11281887       9.72       8.92       0.18      -3.84      506.5       36.0
1998  123  11586835       9.62       8.90      -0.48      -3.60      505.6       36.4
1998  123  11660401       9.62       8.93      -0.37      -3.55      505.8       39.4
1998  123  11785643       9.68       9.03      -0.53      -3.45      628.3      147.4
1998  123  11852696       9.72       9.00      -0.52      -3.63      506.2       37.0
1998  123  11948827       9.72       8.96      -0.44      -3.73      504.1       40.9
1998  123  12044958       9.82       9.09       0.03      -3.72      505.8       41.6
1998  123  12141087       9.94       9.16      -0.03      -3.88      504.1       36.6
1998  123  12237218      10.18       9.22       0.62      -4.25      503.9       29.2
1998  123  12336352      10.32       9.37       0.88      -4.24      504.1       28.3
1998  123  12432448      10.30       9.33       1.01      -4.25      503.7       29.0
1998  123  12544995      10.32       9.41       0.92      -4.13      504.2       31.7
1998  123  12618735      10.30       9.27       0.71      -4.43      503.2       29.0
1998  123  12714831      10.34       9.19       0.69      -4.67      503.5       25.2
1998  123  12810960      10.32       9.15       0.76      -4.71      503.4       26.6
1998  123  12907126      10.27       9.13       0.94      -4.60      503.3       27.1
1998  123  13003257      10.27       9.10       0.77      -4.69      502.7       27.4
1998  123  13099352      10.25       8.97       1.05      -4.84      502.5       28.5
1998  123  13195517      10.05       9.08       1.48      -4.01      502.5       33.6
1998  123  13291613      10.05       9.18       1.59      -3.71      502.3       33.0
1998  123  13387778      10.26       9.45       1.78      -3.56      501.3       27.3
1998  123  13500254      10.35       9.27       1.43      -4.36      501.0       36.7
1998  123  13574031      10.32       8.96       1.06      -5.00      500.6       27.0
1998  123  13670125      10.27       9.01       0.79      -4.84      500.8       27.8
1998  123  13766291      10.12       9.10       0.85      -4.32      502.0       29.5
1998  123  13862422      10.05       8.78       0.64      -4.83      501.2       27.2
1998  123  13958517       9.68       8.50       0.45      -4.61      501.3       34.2
1998  123  14050176       9.09       8.20       1.20      -3.71      499.3       42.1
1998  123  14147774       9.13       8.14       1.19      -3.94      500.5       33.0
1998  123  14243904       8.58       7.68       1.69      -3.42      499.6       50.8
1998  123  14340034       8.55       7.60       1.99      -3.36      501.4       44.7
1998  123  14452582       8.43       7.46       2.71      -2.84      503.1       47.5
1998  123  14526322       8.22       7.26       2.49      -2.91      503.1       43.8
1998  123  14622452       8.12       7.11       2.17      -3.20      501.3       43.6
1998  123  14913847       8.45       7.33       2.10      -3.65      501.5       35.0
1998  123  15009978       8.42       7.42       2.01      -3.44      501.8       36.4
1998  123  15106108       8.47       7.56       2.08      -3.17      501.8       35.6
1998  123  15202238       8.50       7.54       2.29      -3.16      501.2       35.7
1998  123  15301374       8.50       7.50       2.16      -3.35      500.2       36.0
1998  123  15413885       8.48       7.25       2.95      -3.24      500.6       43.4
1998  123  15493633       8.50       7.31       2.54      -3.51      500.3       36.7
1998  123  15583756       8.45       7.25       2.37      -3.58      500.2       38.2
1998  123  15679886       8.73       7.48       3.28      -3.08      500.9       31.5
1998  123  15776017       9.01       7.59       3.28      -3.49      500.9       28.6
1998  123  15872147       9.19       7.47       3.09      -4.36      500.3       24.8
1998  123  15968277       9.17       7.62       2.95      -4.13      500.1       24.6
1998  123  16064408       9.10       7.76       2.60      -3.98      499.3       26.9
1998  123  16160538       9.12       7.53       2.86      -4.29      498.9       26.3
1998  123  16259672       9.12       7.53       2.94      -4.23      498.5       25.9
1998  123  16369181       9.16       7.60       2.95      -4.17      498.6       30.6
1998  123  16447427       9.10       7.66       2.68      -4.10      497.3       26.8
1998  123  16540552       9.09       7.70       2.55      -4.11      497.3       25.8
1998  123  16636683       8.98       7.78       2.09      -3.96      496.8       26.3
1998  123  16732814       8.57       7.32       2.16      -3.88      496.3       29.4
1998  123  16828945       8.07       7.17       1.44      -3.42      496.4       44.4
1998  123  16923398       7.73       7.14       0.37      -2.79      495.2       58.4
1998  123  17024208       7.68       7.31      -0.23      -2.20      494.6       55.5
1998  123  17120339       7.94       7.76      -1.04      -1.17      493.6       55.9
1998  123  17214968       8.99       8.59      -0.36      -2.44      490.7       25.3
1998  123  17324615       9.38       8.96      -0.34      -2.72      490.5       23.4
1998  123  17404224       9.24       8.96      -0.29      -2.19      490.1       23.1
1998  123  17500320       8.78       7.75       1.31      -3.88      493.3       35.3
1998  123  17597988       8.33       7.58       1.17      -3.17      494.8       40.3
1998  123  17694117       8.28       7.88       0.38      -2.49      495.6       40.2
1998  123  17790248       8.22       7.80       0.22      -2.58      494.9       43.0
1998  123  17886378       8.15       7.66       0.51      -2.72      493.6       44.2
1998  123  17982367       8.34       7.86       0.60      -2.68      493.3       37.9
1998  123  18078638       7.95       7.87      -0.31      -0.97      491.9       47.3
1998  123  18174769       7.73       7.64      -0.47      -0.83      492.5       54.9
1998  123  18283595       7.43       7.33      -0.52      -1.05      490.4       81.1
1998  123  18364027       8.02       7.62      -0.57      -2.30      490.9       44.0
1998  123  18455650       8.53       8.09       0.01      -2.64      491.4       29.6
1998  123  18551781       8.35       7.59       0.31      -3.29      491.8       30.0
1998  123  18647912       8.62       7.60       0.49      -3.89      487.8       25.3
1998  123  18744041       8.14       6.96       0.68      -3.96      487.2       37.1
1998  123  18840171       7.89       6.66       1.33      -3.99      489.4       41.5
1998  123  18936302       8.34       6.90       1.06      -4.51      489.6       31.6
1998  123  19036937       8.94       7.97      -1.58      -3.41      492.5       19.9
1998  123  19129923       9.20       7.74      -3.49      -3.48      492.2       17.3
1998  123  19239572       9.20       7.61      -3.50      -3.78      492.0       22.7
1998  123  19319181       9.25       7.96      -3.12      -3.47      490.7       13.0
1998  123  19412306       9.24       8.00      -3.16      -3.34      491.3       14.5
1998  123  19508437       9.33       8.11      -2.46      -3.90      488.9       12.3
1998  123  19604568       9.35       8.13      -2.34      -3.98      489.2       11.4
1998  123  19703701       9.29       8.19      -2.14      -3.84      488.7       12.4
1998  123  19799832       9.26       8.17      -2.03      -3.86      489.2       13.2
