                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1999  293  84629570       6.07      -1.64       5.35       1.90      335.9       10.7    2.33740      0.273    0.00000
1999  294   1786021       8.20      -1.37       7.21      -1.47      347.1       16.4    3.82467      1.675    0.51096
1999  294   5419801       8.55      -2.10       8.00       0.74      346.1       13.7    3.17926      1.041    0.00000
1999  294   8965566      19.78      -3.44      17.58      -1.43      421.1       38.8   13.34813      9.599    0.60172
1999  294  12613150      16.17      -1.72      10.65       4.30      442.3       44.7   16.95887      2.255    0.00000
1999  294  19804957      25.36       4.01     -12.38      20.89      442.7       14.7    5.59657      0.277    0.00000
1999  294  23441714      22.82       4.82     -12.88      17.91      426.0       13.5    4.74096      0.392    0.00000
1999  294  26993716      20.55       9.43     -12.90      12.10      412.4       14.3    4.72167      0.866    0.00000
1999  294  30628896      19.31       5.70     -13.53       7.98      426.7       11.2    3.94273      1.917    0.00000
1999  294  34169246      17.39       5.02     -13.54       9.25      398.8       12.3    3.79897      1.143    0.00000
1999  294  37816078      20.83       5.62     -17.09       9.72      414.2        6.8    2.27196      2.289    0.00000
1999  294  41358656      20.43       6.82     -17.45       7.40      430.5        9.4    3.37906      3.328    0.00000
1999  294  44997777      18.81       3.89     -17.44       5.16      454.9        9.2    3.70605      4.113    0.00000
1999  294  48638332      18.07       4.11     -15.66       7.77      458.2        8.3    3.36477      2.300    0.00000
1999  294  52185800      16.87       3.18     -15.19       6.38      480.8        6.0    2.68914      2.562    0.00000
1999  294  55830250      17.34       2.94     -16.26       5.15      472.1        6.6    2.87360      3.445    0.00000
1999  294  59368160      20.14       4.06     -19.53       1.82      515.7        7.8    4.03234      8.580    0.00000
1999  294  63008179      18.87       2.29     -18.22      -3.67      496.9        9.9    4.74091     12.651    1.82469
1999  294  66556929      17.55       5.18     -16.52      -0.70      474.4       12.3    5.35594      7.917    0.33330
1999  294  70201570      18.93       7.06     -16.30       3.24      465.2       14.0    5.86207      5.385    0.00000
1999  294  77388773      20.35       7.69     -10.26      15.18      475.8       12.5    5.48444      0.288    0.00000
1999  294  81034781      21.16       5.16      -6.04      19.02      453.5        6.6    2.62724      0.022    0.00000
1999  294  84581984      21.67      13.41      -8.12      10.13      483.3       18.2    8.25996      0.546    0.00000
