                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  237  84638234       5.96      -4.26       3.09      -2.24      399.6        5.1    1.57225      1.777    0.89334
1998  238   1773187       6.45      -3.79       5.01      -0.40      405.8        5.5    1.75325      0.982    0.16370
1998  238   5416283       6.51      -3.03       3.82      -0.38      403.1        4.0    1.25078      1.028    0.15318
1998  238   8973839       5.28      -1.66       4.28      -0.91      450.7        5.4    2.14293      0.913    0.41043
1998  238  12615857       4.62       0.20       3.25      -2.10      486.7        5.4    2.48100      1.233    1.02389
1998  238  16164142       5.27      -2.43       3.85      -0.79      464.7        5.1    2.11943      0.927    0.36548
1998  238  19808578       5.35      -2.53       4.03       1.38      472.4        4.6    1.99121      0.307    0.00000
1998  238  23439785      10.58      -3.38       7.49       0.27      458.7        5.6    2.30186      2.377    0.00000
1998  238  26968013      18.74     -13.54       4.55       8.26      618.8       12.7    9.44515      0.166    0.00000
1998  238  30602357      16.11     -11.65       4.87       6.78      571.1       11.8    7.47774      0.261    0.00000
1998  238  37767988      14.39      -2.12       9.33      -9.04      686.0        7.4    6.72210     20.353    6.20366
1998  238  41371890      10.63      -1.12       8.51      -3.27      680.1        6.0    5.41523      7.065    2.22323
1998  238  44969835       9.95      -0.99       6.85      -6.11      671.4        5.2    4.52155      9.191    4.09976
1998  238  48580292       9.81       1.00       9.11      -2.30      707.0        5.5    5.35555      5.251    1.62537
1998  238  55760441      11.32       0.65       6.41      -0.76      706.2        4.3    4.20767      5.632    0.53655
1998  238  59420511      10.25      -0.55      -4.58      -2.39      788.4        2.3    2.82788      8.825    1.88478
1998  238  62987437       7.93       1.30       5.66      -3.56      737.0        2.9    3.02702      5.427    2.62455
1998  238  70201835       8.36      -3.09       6.76      -1.16      803.9        4.4    5.48587      3.825    0.93286
1998  238  73805953       7.73      -1.99       6.75       0.65      864.0        4.2    6.11603      2.104    0.00000
1998  238  77385257      12.21      -0.43       9.62      -0.77      835.8        4.4    6.02002      7.247    0.64548
1998  238  80973867      16.13       6.56      12.16      -7.38      832.9        8.7   11.66139     24.906    6.14893
1998  238  84574953      16.68      12.56       2.96      -8.03      857.9        7.0    9.95803     44.684    6.88957
1998  239   1837969      16.01      11.25       4.02      -9.85      785.4        6.4    7.69013     37.199    7.73564
1998  239   5414136      15.11       8.04       6.13     -10.88      745.6        6.4    6.85004     29.692    8.10956
1998  239   9005845      14.49       9.01       4.86      -9.81      742.6        9.0    9.65125     27.948    7.28811
1998  239  12615333      13.47       6.19       8.30      -6.71      728.5       10.8   11.11524     17.465    4.88852
1998  239  19768568      12.91       0.03       6.00      -2.21      726.5        7.7    7.84305     10.929    1.60829
1998  239  23375646      15.91       5.78       3.50     -13.70      708.8        1.7    1.64458     34.666    9.71142
1998  239  30624232      15.22       5.86       3.38     -13.59      668.2        5.7    4.97887     29.949    9.07760
1998  239  34244035      15.34       6.54       3.10     -13.49      624.6        3.8    2.88516     28.553    8.42580
1998  239  41368519      14.84       7.52       2.00     -12.62      620.1        2.3    1.72560     26.893    7.82247
1998  239  44992652      13.94       4.81       3.50     -12.28      589.8        2.5    1.70212     21.965    7.24215
1998  239  48626374      13.95      -0.33       7.07     -11.86      561.4        4.6    2.78359     18.820    6.65596
1998  239  52176140      13.78       1.64       6.84     -11.70      586.8        2.2    1.46959     19.268    6.86532
1998  239  55814371      14.01      -0.34       5.81     -12.21      604.4        1.2    0.85701     21.417    7.37986
1998  239  59426347      13.78      -1.01       7.38     -11.06      588.8        0.9    0.63013     18.705    6.51466
1998  239  66584765      13.17      -4.93       4.68     -10.98      618.1        1.3    0.98876     19.704    6.78577
1998  239  70187335      12.13      -3.18       3.50     -10.89      614.0        1.8    1.32877     17.163    6.68532
1998  239  73833320      11.47      -4.91       3.99      -8.77      544.2        1.6    0.91082     13.028    4.77386
1998  239  77375531      11.08      -4.38       7.55      -4.22      565.4        1.9    1.15438      7.649    2.38360
1998  239  81016851      11.13      -6.44       7.16      -2.42      520.2        1.6    0.82508      5.597    1.25954
1998  239  84613921      10.88      -7.51       6.16       2.49      533.0        1.8    0.99749      1.226    0.00000
1998  240   1786295       9.43      -3.67       5.19      -0.66      596.8        2.1    1.45960      3.363    0.39681
1998  240   5377863       6.75      -5.45       2.56       0.84      594.8        1.4    0.98938      0.642    0.00000
1998  240   8985256       6.47      -5.39       0.80       1.98      602.7        1.4    0.97569      0.007    0.00000
1998  240  16204168       6.73      -3.18       1.78       0.43      593.3        1.5    1.01247      0.781    0.00000
1998  240  19788230       6.45      -4.60       1.92       0.67      563.1        1.3    0.81334      0.527    0.00000
1998  240  23427874       6.31      -2.38       0.62      -3.61      627.2        1.9    1.46921      4.901    2.26706
1998  240  27004111       5.95      -3.57       1.69       3.11      575.8        1.3    0.80671      0.015    0.00000
1998  240  37762941       5.08      -4.10       0.61      -1.71      582.8        3.0    1.99766      2.833    0.99768
1998  240  41419128       5.00      -4.31       0.23       1.09      563.0        1.9    1.15687      0.000    0.00000
1998  240  48574597       4.73      -2.85       0.74      -1.81      663.2        2.5    2.17460      2.743    1.19732
1998  240  55792148       4.99      -2.37       1.53       0.54      591.9        2.6    1.78004      0.328    0.00000
1998  240  63045292       6.36      -3.50       2.92      -2.19      568.4        2.4    1.48734      2.929    1.24321
1998  240  66582585       5.83      -1.73       3.43       3.51      600.1        2.4    1.65140      0.082    0.00000
1998  240  70222406       5.66      -1.36       2.45       4.21      581.0        1.7    1.12888      0.017    0.00000
1998  240  73756874       5.33      -1.31       3.54       2.74      596.6        2.3    1.59077      0.127    0.00000
1998  240  81044164       5.37      -1.89       3.33      -2.57      607.3        2.3    1.61577      2.262    1.55890
1998  240  84578531       5.46      -3.09       2.15      -2.39      594.6        2.4    1.64590      2.684    1.42080
1998  241   1830620       5.50      -3.67      -1.88      -2.17      583.8        2.3    1.52405      2.711    1.26521
1998  241   5434019       5.08      -3.79       0.45       1.57      553.5        2.6    1.53394      0.001    0.00000
1998  241   9009316       4.76      -1.51       2.44      -1.36      595.3        2.2    1.50644      1.484    0.80841
1998  241  12608992       4.92      -3.54      -0.11      -2.79      584.9        2.3    1.51204      2.815    1.62908
1998  241  16160379       4.89      -3.56      -0.54      -2.81      576.5        2.2    1.44787      2.698    1.61851
1998  241  19767419       4.87      -2.77       2.31       1.15      586.7        2.3    1.53102      0.213    0.00000
1998  241  23383941       4.59      -3.54       1.95       0.69      540.5        2.2    1.24218      0.251    0.00000
1998  241  26983546       4.69      -3.65       2.56       0.66      549.4        2.2    1.27842      0.341    0.00000
1998  241  30628666       4.69      -2.80       2.47      -1.74      537.5        2.3    1.29654      1.459    0.93323
1998  241  37820531       5.34      -3.21       3.25      -0.82      516.0        3.1    1.58952      1.135    0.42247
1998  241  41372820       5.29      -1.97       3.67       0.91      571.4        2.9    1.84293      0.459    0.00000
1998  241  45019628       5.71      -1.89       4.47       1.93      544.8        2.4    1.39804      0.323    0.00000
1998  241  48637667       5.76      -2.91       2.73      -1.52      538.7        1.9    1.04544      1.963    0.81749
1998  241  55829605       5.53      -3.77       0.23      -3.03      529.7        2.4    1.30745      3.225    1.60239
1998  241  59375464       5.28      -3.89       1.95      -0.78      523.7        2.1    1.12082      1.372    0.41020
1998  241  63017652       5.67      -3.02      -2.09      -3.74      551.8        2.5    1.49490      3.096    2.06551
1998  241  66561289       5.99      -4.78       0.55      -3.31      524.7        2.5    1.36128      3.697    1.73428
1998  241  70208734       5.78      -3.06       3.63       0.69      548.4        2.5    1.48416      0.604    0.00000
1998  241  73826007       5.47      -0.50       4.14       2.60      564.1        2.4    1.45101      0.185    0.00000
1998  241  77389757       5.53      -2.53       3.32       2.17      557.2        2.2    1.30939      0.174    0.00000
1998  241  81012476       5.37      -1.69       4.43      -0.10      555.1        1.9    1.13779      0.834    0.05546
1998  242   1783634       5.49      -2.99       3.25      -1.59      528.4        2.3    1.25461      1.642    0.83984
