                               Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V         Vth         Np        Beta        Va         Ma        Mms    
                           nT         nT         nT         nT        km/s       km/s       cm^3                  km/s                         
2009  200    147035       2.72      -0.42       2.69      -0.08      300.5       17.2        5.5      0.456       25.4      11.81       9.10
2009  200    244973       2.69      -0.37       2.66       0.08      300.2       16.9        5.3      0.441       25.4      11.81       9.16
2009  200    342910       2.65      -0.15       2.64       0.16      300.0       16.9        5.5      0.472       24.7      12.17       9.31
2009  200    440847       2.66      -0.25       2.64       0.18      300.0       16.8        5.7      0.475       24.4      12.29       9.39
2009  200    538785       2.71       0.06       2.70       0.20      299.7       16.9        5.5      0.454       25.1      11.94       9.21
2009  200    635192       2.76       0.34       2.72       0.35      298.9       16.6        5.3      0.405       26.1      11.45       9.03
2009  200    733129       2.95       0.36       2.90       0.39      299.4       16.8        5.3      0.358       28.0      10.68       8.62
2009  200    831067       3.10       0.01       3.10      -0.05      299.7       16.7        5.3      0.322       29.4      10.19       8.37
2009  200    927614       3.13      -0.00       3.13      -0.06      298.0       17.2        5.3      0.335       29.7      10.05       8.20
2009  200   1017759       3.14       0.03       3.14      -0.06      298.3       18.3        5.4      0.387       29.5      10.12       8.05
2009  200   1124878       3.16       0.07       3.15      -0.01      298.2       16.5        5.1      0.289       30.6       9.74       8.14
2009  200   1222816       3.19       0.16       3.19      -0.01      299.2       16.9        5.2      0.306       30.5       9.82       8.13
2009  200   1322283       3.20      -0.11       3.18       0.21      299.6       17.7        5.2      0.336       30.5       9.81       8.00
2009  200   1420220       3.18      -0.27       3.15       0.29      300.3       17.5        5.2      0.329       30.5       9.86       8.07
2009  200   1518158       3.26      -0.15       3.13       0.69      298.9       17.7        5.2      0.319       31.3       9.54       7.85
2009  200   1614565       3.30      -0.16       2.93       1.50      299.0       18.0        5.6      0.348       30.5       9.80       7.94
2009  200   1712502       3.31      -0.14       2.91       1.57      298.6       17.5        5.3      0.315       31.2       9.56       7.88
2009  200   1810439       3.26      -0.12       3.22       0.42      299.6       17.1        5.0      0.291       31.7       9.46       7.89
2009  200   1908377       3.33      -0.09       3.29       0.47      299.2       17.1        5.2      0.288       31.8       9.40       7.86
2009  200   1997132       3.30      -0.13       3.08       1.13      298.2       18.6        5.2      0.348       31.6       9.44       7.65
2009  200   2104251       3.28      -0.14       2.93       1.45      299.1       17.5        5.3      0.314       31.2       9.59       7.90
2009  200   2202188       3.38      -0.23       2.79       1.88      297.3       18.0        5.2      0.308       32.3       9.20       7.60
2009  200   2303187       3.35      -0.38       2.63       2.03      299.6       17.4        5.2      0.295       32.0       9.37       7.80
2009  200   2396673       3.34      -0.50       2.42       2.25      298.6       17.5        5.2      0.299       31.9       9.36       7.78
2009  200   2496000       3.26      -0.63       2.05       2.44      298.1       17.5        5.3      0.324       30.8       9.67       7.93
2009  200   2592548       3.23      -0.50       2.14       2.34      298.4       16.9        5.4      0.311       30.3       9.86       8.14
2009  200   2690485       3.29      -0.13       2.79       1.73      297.8       16.9        5.3      0.294       31.2       9.54       7.94
2009  200   2789813       3.30      -0.12       2.95       1.48      298.8       17.1        5.1      0.290       31.8       9.39       7.84
2009  200   2886360       3.31      -0.12       3.01       1.36      298.7       17.2        5.2      0.294       31.7       9.41       7.84
2009  200   2978037       3.33      -0.13       3.05       1.30      300.6       18.9        5.2      0.352       31.8       9.45       7.64
2009  200   3079174       3.30      -0.70       2.91       1.39      297.9       17.1        5.2      0.291       31.6       9.42       7.86
2009  200   3180173       3.31      -0.53       2.92       1.45      296.7       17.3        5.2      0.297       31.7       9.35       7.77
2009  200   3278111       3.35      -0.50       2.95       1.49      297.8       17.3        5.1      0.285       32.4       9.20       7.70
2009  200   3372987       3.36      -0.48       2.98       1.48      297.9       16.9        5.0      0.266       32.7       9.11       7.71
2009  200   3470925       3.46      -0.48       3.12       1.41      297.5       17.0        4.9      0.250       33.9       8.77       7.47
2009  200   3571923       3.45      -0.38       3.00       1.66      297.9       17.0        5.0      0.254       33.8       8.82       7.51
2009  200   3669861       3.40      -0.49       2.95       1.60      297.2       17.3        5.1      0.274       33.0       9.01       7.59
2009  200   3767799       3.37      -0.18       3.02       1.45      298.0       16.4        4.9      0.244       33.3       8.95       7.66
2009  200   3864065       3.25      -0.56       2.56       1.92      298.1       16.8        5.2      0.292       31.1       9.57       7.98
2009  200   3952822       3.21      -0.55       2.49       1.94      297.1       18.5        5.5      0.381       30.0       9.91       7.90
2009  200   4064672       3.19      -0.66       2.41       1.98      296.8       17.0        5.2      0.314       30.4       9.76       8.05
2009  200   4159549       3.13      -0.73       2.45       1.82      296.1       16.9        5.4      0.332       29.3      10.10       8.25
2009  200   4257487       3.14      -0.67       2.46       1.83      296.0       16.8        5.3      0.321       29.7       9.96       8.18
2009  200   4355425       3.21      -0.80       2.36       2.01      295.5       17.1        5.4      0.320       30.2       9.80       8.05
2009  200   4453363       3.27      -0.78       2.44       2.04      295.8       17.2        5.4      0.314       30.8       9.61       7.93
2009  200   4551300       3.26      -0.79       2.46       1.99      295.5       17.0        5.2      0.298       31.1       9.51       7.91
2009  200   4649238       3.21      -0.75       2.33       2.08      296.0       17.2        5.4      0.325       30.2       9.81       8.04
2009  200   4747176       3.23      -0.86       2.40       1.98      295.5       17.0        5.2      0.303       30.8       9.59       7.95
2009  200   4845114       3.20      -0.92       2.35       1.96      295.9       17.4        5.5      0.341       29.7       9.95       8.09
2009  200   4932198       3.07      -1.15       2.24       1.75      295.7       19.0        5.8      0.466       27.9      10.62       8.15
2009  200   5044049       3.16      -1.13       2.58       1.44      295.6       17.3        5.3      0.335       29.8       9.90       8.08
2009  200   5138927       3.22      -1.09       2.67       1.43      296.2       17.8        5.3      0.337       30.7       9.65       7.87
2009  200   5238255       3.33      -1.09       2.87       1.30      297.1       17.0        5.0      0.270       32.7       9.09       7.67
2009  200   5331742       3.11      -0.98       2.77       1.03      297.6       17.6        5.5      0.368       29.1      10.23       8.21
2009  200   5431070       3.06      -1.01       2.81       0.66      297.7       17.5        5.6      0.383       28.3      10.52       8.38
2009  200   5527618       3.15      -0.61       2.57       1.51      294.6       15.3        4.9      0.244       31.0       9.52       8.14
2009  200   5628616       3.27      -0.42       2.53       2.02      296.3       17.0        5.4      0.304       30.8       9.62       7.98
2009  200   5727943       3.27      -0.48       2.59       1.94      297.0       17.2        5.4      0.314       30.8       9.65       7.95
2009  200   5824492       3.31      -0.61       2.74       1.74      296.5       16.9        5.2      0.284       31.7       9.36       7.84
2009  200   5911577       3.32      -0.68       2.84       1.58      295.5       18.6        5.4      0.354       31.2       9.47       7.65
2009  200   6023428       3.30      -0.70       2.80       1.59      295.4       17.3        5.2      0.303       31.4       9.40       7.79
2009  200   6118306       3.26      -0.70       2.81       1.49      297.2       17.0        5.3      0.304       30.8       9.65       8.00
2009  200   6216244       3.32      -0.62       2.75       1.75      296.7       17.0        5.2      0.288       31.7       9.35       7.82
2009  200   6314182       3.18      -0.63       2.66       1.61      296.5       17.0        5.3      0.320       30.0       9.89       8.13
2009  200   6412120       3.18      -0.91       2.32       1.97      296.5       17.4        5.4      0.340       29.8       9.96       8.10
2009  200   6510058       3.18      -0.99       2.32       1.93      295.1       17.2        5.6      0.344       29.3      10.08       8.19
2009  200   6607996       3.21      -0.77       2.55       1.76      295.3       16.9        5.5      0.321       29.9       9.87       8.11
2009  200   6705934       3.19      -0.81       1.93       2.37      295.6       16.7        5.4      0.314       29.9       9.89       8.15
2009  200   6803872       3.30      -0.85       1.76       2.66      295.7       17.1        5.3      0.296       31.3       9.44       7.86
2009  200   6890957       3.36      -0.86       1.79       2.70      296.1       18.3        5.5      0.342       31.3       9.45       7.68
2009  200   7002809       3.37      -0.87       1.78       2.73      296.4       16.8        5.3      0.273       32.1       9.23       7.77
2009  200   7097686       3.32      -0.83       2.06       2.47      296.4       16.7        5.2      0.280       31.6       9.38       7.87
2009  200   7195624       3.34      -0.84       2.20       2.36      295.5       17.0        5.1      0.277       32.2       9.17       7.71
2009  200   7293562       3.30      -0.76       2.40       2.13      295.8       17.0        5.4      0.298       31.1       9.52       7.91
2009  200   7391500       3.25      -0.89       2.25       2.17      295.1       17.2        5.5      0.320       30.3       9.73       8.00
2009  200   7489438       3.28      -0.91       2.35       2.10      296.2       16.9        5.4      0.303       30.7       9.64       7.99
2009  200   7587376       3.28      -0.93       2.49       1.92      295.9       16.9        5.4      0.300       30.9       9.59       7.96
2009  200   7682254       3.24      -0.86       2.49       1.88      295.1       17.0        5.6      0.323       30.0       9.85       8.08
2009  200   7780192       3.23      -0.95       2.44       1.90      295.1       16.9        5.5      0.315       30.0       9.83       8.10
