Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  196    244702       59.3        2.9
2000  196    341948       65.0        2.9
2000  196    433069       64.8        2.8
2000  196    531103       68.4        3.0
2000  196    624569       65.1        2.8
2000  196    722603       59.9        2.9
2000  196    817530       53.2        3.0
2000  196    914103       48.7        2.9
2000  196   1034604       77.9        3.3
2000  196   1107913       70.7        3.4
2000  196   1204345       50.0        3.0
2000  196   1299272       58.4        2.9
2000  196   1392853       69.1        3.1
2000  196   1490772       62.8        3.0
2000  196   1586522       65.3        3.1
2000  196   1682272       61.9        3.2
2000  196   1776702       74.2        3.4
2000  196   1876765       60.6        3.2
2000  196   1995096       72.5        3.4
2000  196   2066944       67.9        3.2
2000  196   2164014       62.3        3.2
2000  196   2261436       67.9        3.4
2000  196   2356337       62.3        3.8
2000  196   2454292       63.3        3.4
2000  196   2550042       58.2        3.6
2000  196   2646650       65.9        3.5
2000  196   2737229       75.4        3.9
2000  196   2837292       64.1        3.6
2000  196   2954775       70.6        3.7
2000  196   3024444       62.0        3.6
2000  196   3120194       56.4        3.4
2000  196   3212987       66.8        4.0
2000  196   3313050       64.1        3.8
2000  196   3408800       60.5        3.7
2000  196   3504549       54.1        3.6
2000  196   3601157       58.2        4.0
2000  196   3696084       60.2        3.4
2000  196   3792587       53.3        3.9
2000  196   3913158       67.5        3.9
2000  196   3987788       54.8        4.0
2000  196   4085210       49.6        3.9
2000  196   4175659       62.0        3.9
2000  196   4277393       62.6        3.9
2000  196   4370150       56.1        4.1
2000  196   4465900       59.7        4.2
2000  196   4561581       54.4        3.8
2000  196   4657400       49.2        4.2
2000  196   4753150       56.3        4.1
2000  196   4873650       68.4        4.5
2000  196   4947643       59.3        4.3
2000  196   5043393       52.7        4.1
2000  196   5136150       61.4        3.8
2000  196   5231078       65.4        4.1
2000  196   5328324       54.4        4.1
2000  196   5426393       51.2        4.5
2000  196   5519150       49.5        4.6
2000  196   5614900       50.8        4.6
2000  196   5710651       55.4        4.5
2000  196   5831152       56.4        4.3
2000  196   5904320       59.1        4.4
2000  196   6000210       50.6        4.5
2000  196   6094464       46.1        4.4
2000  196   6190074       52.8        4.6
2000  196   6284327       57.8        3.8
2000  196   6380901       61.0        4.1
2000  196   6477324       54.4        4.5
2000  196   6573214       54.4        4.4
2000  196   6667328       61.5        4.2
2000  196   6787121       65.3        4.3
2000  196   6861960       55.1        4.0
2000  196   6954578       57.2        4.0
2000  196   7050328       59.8        4.1
2000  196   7147574       55.2        4.3
2000  196   7241828       59.1        4.1
2000  196   7338400       61.3        4.2
2000  196   7433328       58.5        4.1
2000  196   7529078       61.0        4.4
2000  196   7624828       59.7        4.1
2000  196   7746152       57.0        3.9
2000  196   7819285       61.1        4.2
2000  196   8007828       61.2        4.1
2000  196   8103578       59.9        3.9
2000  196   8199468       57.9        4.2
2000  196   8295078       60.1        4.3
2000  196   8388658       54.7        4.0
2000  196   8485081       55.5        4.1
2000  196   8580971       54.6        4.2
2000  196   8700659       58.9        4.0
2000  196   8778457       51.1        4.2
2000  196   8869578       59.7        4.3
2000  196   8966824       52.5        4.3
2000  196   9062574       49.8        4.3
2000  196   9159960       58.1        4.3
2000  196   9255570       57.2        4.0
2000  196   9352816       54.9        3.9
2000  196   9448566       45.9        4.5
2000  196   9541464       52.0        4.2
2000  196   9664003       60.1        4.5
2000  196   9737277       45.2        4.2
