Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          V         Vth         Np    
                           nT        km/s       km/s       cm^3   
2014    1    247789       4.89      396.7       41.0        6.6
2014    1    349211       4.69      407.5       39.7        6.6
2014    1    441541       4.73      406.1       40.1        6.6
2014    1    540026       4.77      403.2       40.2        6.5
2014    1    643269       4.71      402.7       39.5        6.6
2014    1    740216       4.70      397.5       38.3        6.5
2014    1    841639       4.75      400.2       39.9        6.6
2014    1    937187       4.82      399.2       36.5        6.0
2014    1   1040289       4.86      394.9       41.0        6.7
2014    1   1137235       4.94      397.1       39.1        6.4
2014    1   1232644       4.94      397.0       39.5        6.6
2014    1   1331129       5.01      397.9       38.9        6.5
2014    1   1428792       4.79      395.8       41.9        7.4
2014    1   1530356       4.93      380.7       42.7        7.5
2014    1   1624224       4.89      388.0       39.5        6.5
2014    1   1724249       4.98      393.5       42.3        6.9
2014    1   1822018       5.20      390.9       37.6        6.0
2014    1   1918825       5.25      388.1       38.1        6.2
2014    1   2025144       4.90      389.0       39.9        6.6
2014    1   2127424       4.67      408.1       39.0        7.0
2014    1   2214282       4.73      406.1       40.9        7.1
2014    1   2312766       4.84      404.2       38.0        6.7
2014    1   2412931       4.72      396.0       47.4        8.3
2014    1   2517573       4.81      403.3       39.0        7.0
2014    1   2611267       4.83      403.7       37.2        6.5
2014    1   2714543       4.83      397.7       41.9        7.0
2014    1   2811491       4.79      397.1       40.3        7.1
2014    1   2911515       4.79      401.1       43.6        7.1
2014    1   3014477       4.74      398.2       40.2        6.8
2014    1   3112927       4.84      403.0       38.8        7.1
2014    1   3205433       4.80      399.8       38.3        7.0
2014    1   3303743       4.75      396.7       40.5        7.0
2014    1   3401581       4.79      393.2       35.1        6.6
2014    1   3503792       5.55      403.7       33.2        6.6
2014    1   3596122       5.41      405.7       28.9        7.0
2014    1   3700798       5.33      406.8       28.6        6.1
2014    1   3796171       5.29      398.0       33.3        6.5
2014    1   3894833       5.18      391.4       33.2        6.9
2014    1   3997759       5.34      392.7       36.8        6.7
2014    1   4091628       5.36      388.2       39.9        7.0
2014    1   4194730       5.40      394.7       34.9        7.2
2014    1   4288599       5.43      399.8       35.3        6.9
2014    1   4388799       5.44      399.1       25.4        5.3
2014    1   4479591       5.49      383.0       33.7        6.7
2014    1   4577901       5.43      382.5       32.9        6.2
2014    1   4684257       5.38      388.4       35.1        7.0
2014    1   4779664       5.44      389.6       35.1        6.0
2014    1   4876436       5.45      389.7       30.9        6.3
2014    1   4982791       5.48      390.1       34.5        6.7
2014    1   5081276       5.49      390.2       32.7        6.3
2014    1   5175862       5.57      387.3       34.3        6.0
2014    1   5276533       5.57      386.0       32.8        5.9
2014    1   5375019       5.43      385.2       31.4        6.0
2014    1   5475042       5.43      384.6       37.2        6.1
2014    1   5569088       5.41      396.7       35.4        6.1
2014    1   5669112       5.41      402.4       38.1        6.5
