                                                                                 Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz       Vtheta      Vphi       Vth         Np        Psw         Pb        Pth        Beta        Va         Ma        Mms      Epsilon  
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s       deg        deg        km/s       cm^3       nPa        nPa        nPa                   km/s                           10^11 W  
2014    1    247789       4.89       1.44       4.45      -1.38     -16.48      72.09      396.7     -395.9      -10.8      -23.2       -3.3     -178.4       41.0        6.6    2.01227    0.00952    0.00924      0.971       41.6       9.54       6.09      0.796
2014    1    349211       4.69       2.95       3.50      -0.89     -11.02      49.91      407.5     -406.4      -11.2      -27.4       -3.8     -178.4       39.7        6.6    2.14080    0.00877    0.00878      1.001       39.7      10.26       6.48      0.696
2014    1    441541       4.73       3.19       3.32      -1.05     -12.89      46.15      406.1     -405.2       -5.2      -25.4       -3.6     -179.3       40.1        6.6    2.11404    0.00890    0.00891      1.001       40.1      10.12       6.40      0.768
2014    1    540026       4.77       3.00       3.49      -1.17     -14.22      49.33      403.2     -402.5       -4.1      -23.2       -3.3     -179.4       40.2        6.5    2.05471    0.00905    0.00881      0.974       40.7       9.89       6.31      0.792
2014    1    643269       4.71       2.94       3.50      -1.08     -13.25      50.00      402.7     -402.0       -9.3      -22.3       -3.2     -178.7       39.5        6.6    2.06610    0.00884    0.00858      0.971       40.1      10.04       6.40      0.746
2014    1    740216       4.70       2.25       3.91      -1.30     -16.11      60.05      397.5     -396.8       -9.8      -22.6       -3.3     -178.6       38.3        6.5    2.00582    0.00881    0.00804      0.913       40.1       9.91       6.44      0.760
2014    1    841639       4.75       2.36       3.86      -1.37     -16.86      58.61      400.2     -399.4       -6.1      -23.9       -3.4     -179.1       39.9        6.6    2.05095    0.00898    0.00881      0.980       40.3       9.92       6.31      0.802
2014    1    937187       4.82       2.91       3.52      -1.40     -17.02      50.41      399.2     -398.7       -0.2      -20.4       -2.9     -180.0       36.5        6.0    1.85140    0.00924    0.00666      0.720       43.0       9.29       6.44      0.866
2014    1   1040289       4.86       2.01       4.12      -1.59     -19.18      63.93      394.9     -394.2      -11.2      -19.8       -2.9     -178.4       41.0        6.7    2.03296    0.00939    0.00946      1.007       40.9       9.66       6.09      0.860
2014    1   1137235       4.94       2.11       4.14      -1.60     -18.98      63.04      397.1     -396.4       -9.4      -20.7       -3.0     -178.6       39.1        6.4    1.96943    0.00971    0.00822      0.846       42.5       9.35       6.21      0.893
2014    1   1232644       4.94       1.84       4.25      -1.69     -20.11      66.59      397.0     -396.4      -11.4      -18.6       -2.7     -178.4       39.5        6.6    2.01431    0.00973    0.00861      0.885       42.0       9.45       6.19      0.908
2014    1   1331129       5.01       1.70       4.27      -1.96     -23.15      68.29      397.9     -397.5       -9.1      -16.3       -2.4     -178.7       38.9        6.5    2.00518    0.00999    0.00826      0.827       42.8       9.30       6.21      1.001
2014    1   1428792       4.79       1.66       4.04      -1.89     -23.36      67.74      395.8     -395.3       -6.8      -19.0       -2.7     -179.0       41.9        7.4    2.24124    0.00913    0.01084      1.187       38.5      10.29       6.17      0.916
2014    1   1530356       4.93       0.42       4.69      -0.67      -8.04      84.94      380.7     -379.2        3.8      -33.5       -5.0      179.4       42.7        7.5    2.11385    0.00969    0.01148      1.185       39.3       9.70       5.82      0.601
2014    1   1624224       4.89       0.41       4.54      -1.39     -16.94      84.89      388.0     -387.0      -14.6      -23.9       -3.5     -177.8       39.5        6.5    1.90703    0.00952    0.00851      0.895       41.7       9.29       6.07      0.772
2014    1   1724249       4.98       0.88       4.49      -1.88     -22.39      78.91      393.5     -392.9      -14.9      -14.2       -2.1     -177.8       42.3        6.9    2.08331    0.00988    0.01039      1.052       41.3       9.53       5.94      0.937
2014    1   1822018       5.20       0.91       4.69      -2.00     -22.69      79.02      390.9     -389.8      -19.7      -22.8       -3.3     -177.1       37.6        6.0    1.78817    0.01078    0.00715      0.663       46.2       8.46       5.99      1.022
2014    1   1918825       5.25       0.49       4.75      -2.14     -24.13      84.14      388.1     -387.2      -18.0      -18.3       -2.7     -177.3       38.1        6.2    1.80691    0.01097    0.00750      0.684       46.0       8.43       5.92      1.060
2014    1   2025144       4.90       1.93       3.65       0.10       1.34      62.05      389.0     -388.4      -10.4      -19.6       -2.9     -178.5       39.9        6.6    1.95103    0.00955    0.00886      0.928       41.5       9.38       6.07      0.441
2014    1   2127424       4.67       3.30       2.83       1.68      21.16      40.63      408.1     -404.9      -13.5      -49.1       -6.9     -178.1       39.0        7.0    2.25075    0.00870    0.00886      1.019       38.6      10.56       6.64      0.106
2014    1   2214282       4.73       3.18       3.18       1.37      16.87      44.98      406.1     -403.5      -10.4      -44.9       -6.3     -178.5       40.9        7.1    2.26260    0.00889    0.00992      1.115       38.8      10.47       6.40      0.166
2014    1   2312766       4.84       3.10       3.61       0.72       8.61      49.34      404.2     -402.2      -10.3      -38.1       -5.4     -178.5       38.0        6.7    2.12285    0.00932    0.00808      0.867       40.8       9.91       6.53      0.305
2014    1   2412931       4.72       2.11       4.17      -0.01      -0.08      63.18      396.0     -394.6      -13.1      -30.0       -4.3     -178.1       47.4        8.3    2.52679    0.00887    0.01561      1.759       35.7      11.08       5.81      0.441
2014    1   2517573       4.81       3.17       3.58      -0.16      -1.88      48.48      403.3     -402.0      -12.0      -29.5       -4.2     -178.3       39.0        7.0    2.19532    0.00919    0.00886      0.964       39.7      10.15       6.49      0.506
2014    1   2611267       4.83       3.02       3.72      -0.58      -6.90      50.97      403.7     -402.1      -17.9      -30.4       -4.3     -177.4       37.2        6.5    2.05659    0.00930    0.00751      0.808       41.3       9.76       6.57      0.626
2014    1   2714543       4.83       2.66       3.95      -0.76      -9.10      56.07      397.7     -396.8      -10.8      -23.8       -3.4     -178.4       41.9        7.0    2.14564    0.00928    0.01025      1.104       39.8       9.98       6.12      0.654
2014    1   2811491       4.79       2.57       3.92      -0.95     -11.51      56.70      397.1     -396.2       -8.5      -26.2       -3.8     -178.8       40.3        7.1    2.16011    0.00914    0.00960      1.051       39.3      10.10       6.29      0.695
2014    1   2911515       4.79       3.04       3.53      -1.04     -12.55      49.24      401.1     -400.3       -9.5      -23.4       -3.3     -178.6       43.6        7.1    2.22512    0.00912    0.01134      1.244       39.1      10.26       6.06      0.753
2014    1   3014477       4.74       3.13       3.34      -0.88     -10.87      46.93      398.2     -397.6       -3.0      -22.2       -3.2     -179.6       40.2        6.8    2.07649    0.00895    0.00911      1.018       39.8      10.00       6.29      0.702
2014    1   3112927       4.84       2.65       3.98      -0.58      -6.88      56.29      403.0     -401.3      -20.5      -30.8       -4.4     -177.1       38.8        7.1    2.23066    0.00931    0.00893      0.959       39.7      10.16       6.51      0.614
2014    1   3205433       4.80       2.52       4.02      -0.68      -8.20      57.86      399.8     -398.5      -15.3      -28.0       -4.0     -177.8       38.3        7.0    2.16618    0.00916    0.00858      0.937       39.6      10.10       6.51      0.625
2014    1   3303743       4.75       2.41       3.94      -1.08     -13.22      58.57      396.7     -396.0       -8.6      -22.3       -3.2     -178.8       40.5        7.0    2.14984    0.00898    0.00964      1.073       39.1      10.16       6.29      0.715
2014    1   3401581       4.79       2.03       4.06      -1.41     -17.29      63.44      393.2     -392.3       -6.9      -26.1       -3.8     -179.0       35.1        6.6    1.98068    0.00912    0.00681      0.747       40.6       9.68       6.64      0.793
2014    1   3503792       5.55       3.60       4.19       0.45       4.68      49.34      403.7     -401.5      -18.7      -37.6       -5.3     -177.3       33.2        6.6    2.07262    0.01224    0.00604      0.493       47.3       8.54       6.48      0.493
2014    1   3596122       5.41       3.16       4.22      -0.29      -3.20      53.17      405.7     -403.6      -16.4      -38.3       -5.4     -177.7       28.9        7.0    2.23599    0.01163    0.00488      0.420       44.6       9.10       7.13      0.676
2014    1   3700798       5.33       3.01       4.15      -1.09     -12.04      54.07      406.8     -406.3       -7.6      -19.6       -2.8     -178.9       28.6        6.1    1.96898    0.01129    0.00419      0.371       46.9       8.67       6.95      0.905
2014    1   3796171       5.29       2.09       4.36      -2.08     -23.30      64.38      398.0     -397.3      -10.5      -20.5       -3.0     -178.5       33.3        6.5    1.99913    0.01112    0.00604      0.543       45.2       8.80       6.53      1.135
2014    1   3894833       5.18       1.37       4.23      -2.57     -30.00      72.11      391.4     -390.9       -9.6      -16.9       -2.5     -178.6       33.2        6.9    2.05940    0.01066    0.00639      0.599       42.9       9.13       6.62      1.205
2014    1   3997759       5.34       1.67       4.26      -2.57     -29.27      68.54      392.7     -391.8      -14.6      -22.4       -3.3     -177.9       36.8        6.7    1.99122    0.01134    0.00754      0.665       45.1       8.70       6.16      1.282
2014    1   4091628       5.36       1.23       4.34      -2.73     -31.16      74.17      388.2     -387.8      -14.8       -9.1       -1.3     -177.8       39.9        7.0    2.05431    0.01143    0.00937      0.820       44.1       8.80       5.89      1.305
2014    1   4194730       5.40       2.38       4.09      -2.46     -27.45      59.80      394.7     -393.9      -15.6      -19.7       -2.9     -177.7       34.9        7.2    2.16669    0.01162    0.00729      0.628       44.0       8.96       6.43      1.318
2014    1   4288599       5.43       2.96       4.19      -1.72     -18.56      54.74      399.8     -399.0       -8.7      -24.1       -3.5     -178.7       35.3        6.9    2.13884    0.01173    0.00719      0.613       45.1       8.87       6.40      1.119
2014    1   4388799       5.44       1.77       4.17      -1.94     -23.22      67.00      399.1     -397.3      -21.3      -31.6       -4.5     -176.9       25.4        5.3    1.64342    0.01177    0.00287      0.244       51.4       7.76       6.64      1.190
2014    1   4479591       5.49      -0.78       4.71      -2.66     -29.18      99.43      383.0     -381.7      -17.9      -27.3       -4.1     -177.3       33.7        6.7    1.90041    0.01198    0.00633      0.528       46.3       8.27       6.18      1.280
2014    1   4577901       5.43      -0.29       4.96      -2.13     -23.23      93.33      382.5     -381.9      -11.4      -19.2       -2.9     -178.3       32.9        6.2    1.76232    0.01175    0.00562      0.479       47.6       8.04       6.13      1.095
2014    1   4684257       5.38       1.02       4.80      -2.11     -23.30      78.03      388.4     -387.8      -13.3      -17.5       -2.6     -178.0       35.1        7.0    2.04960    0.01150    0.00722      0.628       44.3       8.76       6.29      1.101
2014    1   4779664       5.44       1.20       4.33      -2.99     -33.64      74.55      389.6     -389.0      -12.3      -17.8       -2.6     -178.2       35.1        6.0    1.76352    0.01177    0.00618      0.525       48.5       8.04       6.01      1.412
2014    1   4876436       5.45       1.12       4.76      -2.36     -25.76      76.75      389.7     -389.3       -8.6      -16.4       -2.4     -178.7       30.9        6.3    1.84538    0.01183    0.00501      0.423       47.5       8.20       6.41      1.204
