                                                                                     Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz       Vtheta      Vphi       Vth         Np        Psw         Pb        Pth        Beta        Va         Ma        Mms      Epsilon      VBs    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s       deg        deg        km/s       cm^3       nPa        nPa        nPa                   km/s                           10^11 W      mV/m   
2014   91    147569       5.14      -0.54       5.03      -0.03      -0.29      96.16      391.2     -390.6      -15.8      -13.2       -1.9     -177.7       37.5        3.8    1.13630    0.01051    0.00451      0.429       57.3       6.83       5.32      0.520    0.01012
2014   91    236885       5.09      -0.24       4.98      -0.41      -4.66      92.79      393.2     -392.8      -15.6       -5.2       -0.8     -177.7       36.7        3.5    1.06205    0.01031    0.00398      0.386       59.0       6.66       5.30      0.593    0.15974
2014   91    438501       5.04      -2.98       3.74       0.64       7.65     128.53      379.6     -378.8      -17.9      -17.4       -2.6     -177.3       35.8        3.8    1.05012    0.01012    0.00402      0.398       56.8       6.69       5.29      0.332    0.00000
2014   91    525595       5.00      -4.07       2.44       1.36      16.03     149.10      362.4     -361.0      -11.8      -29.7       -4.7     -178.1       45.1        4.1    1.03888    0.00996    0.00694      0.697       54.1       6.70       4.69      0.118    0.00000
2014   91    831205       4.97      -3.08       3.83       0.58       6.79     128.77      370.5     -369.1      -26.5      -17.0       -2.6     -175.9       46.5        4.1    1.09501    0.00983    0.00745      0.758       53.5       6.93       4.74      0.329    0.00000
2014   91    923565       4.94      -3.63       3.22       0.35       4.07     138.41      368.7     -367.9      -20.0      -13.5       -2.1     -176.9       46.8        4.1    1.08126    0.00973    0.00752      0.773       53.3       6.92       4.71      0.359    0.00000
2014   91   1025020       4.98      -4.31       2.24       0.90      10.49     152.55      360.2     -358.9       -5.4      -29.3       -4.7     -179.1       41.8        4.1    1.01941    0.00986    0.00591      0.599       54.0       6.68       4.84      0.175    0.00000
2014   91   1123536       5.05      -4.45       2.13       0.95      10.93     154.39      355.2     -354.0       -7.6      -28.5       -4.6     -178.8       33.9        3.9    0.94814    0.01014    0.00371      0.366       56.0       6.35       5.10      0.158    0.00000
2014   91   1224449       4.97      -3.76       2.68       1.67      19.85     144.45      365.6     -363.9      -23.6      -27.0       -4.2     -176.3       42.3        4.3    1.10666    0.00983    0.00639      0.650       52.5       6.97       4.96      0.100    0.00000
2014   91   1314553       4.99      -3.88       2.28       1.69      20.59     149.52      361.9     -361.3       -6.7      -21.1       -3.3     -178.9       41.8        4.1    1.04676    0.00989    0.00602      0.609       53.6       6.75       4.88      0.073    0.00000
2014   91   1416149       4.96      -4.50       1.36       1.57      18.50     163.23      361.7     -360.9       -4.5      -24.3       -3.9     -179.3       41.0        4.2    1.06587    0.00980    0.00591      0.603       52.8       6.85       4.96      0.026    0.00000
2014   91   1511447       5.00      -4.52       1.32       1.59      18.64     163.72      356.7     -355.1       -0.7      -34.0       -5.5     -179.9       37.6        4.2    1.04860    0.00996    0.00502      0.504       53.0       6.74       5.08      0.024    0.00000
2014   91   1621596       4.98      -4.55       0.79       1.83      21.66     170.14      357.3     -356.7        4.4      -20.1       -3.2      179.3       47.3        4.4    1.09228    0.00986    0.00824      0.836       51.7       6.91       4.60      0.003    0.00000
2014   91   1717892       4.95      -4.52       0.20       1.98      23.59     177.48      358.9     -355.8       12.8      -45.2       -7.2      177.9       37.1        3.9    0.97504    0.00976    0.00449      0.461       54.7       6.56       5.05      0.000    0.00000
2014   91   1818629       4.83      -4.48       0.52       1.67      20.25     173.34      359.2     -357.9       22.4      -20.0       -3.2      176.4       48.0        4.4    1.09464    0.00926    0.00841      0.908       50.3       7.14       4.64      0.001    0.00000
2014   91   2108740       4.66      -4.33       0.52       1.28      16.41     173.17      359.5     -358.9       12.7      -16.9       -2.7      178.0       41.8        4.5    1.12205    0.00864    0.00654      0.757       48.0       7.48       5.12      0.002    0.00000
2014   91   2206540       4.56      -3.47       1.69       1.14      16.43     154.11      362.3     -361.8       -2.5      -18.0       -2.8     -179.6       43.6        4.5    1.15011    0.00826    0.00718      0.870       46.8       7.75       5.10      0.073    0.00000
2014   91   2315116       4.69       0.30       4.61       0.51       6.25      86.22      401.4     -400.8      -18.7      -10.2       -1.5     -177.3       43.7        4.2    1.31718    0.00875    0.00673      0.769       49.8       8.05       5.49      0.349    0.00000
2014   91   2408839       4.93       0.37       4.76       0.94      11.08      85.59      404.6     -403.5      -22.0      -20.0       -2.8     -176.9       34.7        3.3    1.04737    0.00968    0.00333      0.343       59.3       6.83       5.55      0.320    0.00000
2014   91   2502737       4.86      -1.28       4.38       0.97      11.95     106.32      378.5     -377.4      -22.0      -17.9       -2.7     -176.7       39.9        3.9    1.08643    0.00940    0.00520      0.553       53.6       7.06       5.22      0.274    0.00000
2014   91   2602969       4.74      -3.25       2.94       1.75      21.79     137.91      372.6     -371.6      -11.8      -24.2       -3.7     -178.2       42.5        3.7    0.98973    0.00894    0.00554      0.619       53.9       6.91       4.97      0.099    0.00000
2014   91   2708290       4.78      -1.53       4.08       1.19      15.25     110.56      389.4     -388.8      -12.9      -16.0       -2.4     -178.1       39.4        3.9    1.14011    0.00909    0.00503      0.553       53.0       7.35       5.43      0.230    0.00000
2014   91   2799827       4.77      -0.42       4.60       1.04      12.73      95.17      394.9     -393.9      -22.9      -15.6       -2.3     -176.7       40.4        3.7    1.10483    0.00905    0.00499      0.552       54.4       7.26       5.37      0.271    0.00000
