             Wind MFI Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi    
                           nT         nT         nT         nT        deg        deg    
2014  105     30000       4.01       2.78      -2.88      -0.23      -3.23     313.97
2014  105     90000       4.11       2.74      -3.04      -0.35      -4.86     311.99
2014  105    150000       4.08       2.73      -2.99      -0.40      -5.64     312.42
2014  105    210000       4.17       2.82      -2.99      -0.63      -8.73     313.27
2014  105    270000       4.16       2.78      -2.93      -0.98     -13.67     313.54
2014  105    330000       4.12       2.59      -3.04      -1.01     -14.18     310.38
2014  105    390000       4.11       2.62      -3.03      -0.92     -12.97     310.76
2014  105    450000       4.12       2.68      -2.95      -1.02     -14.40     312.25
2014  105    510000       4.06       2.73      -2.84      -0.96     -13.63     313.83
2014  105    570000       4.05       2.66      -2.89      -0.99     -14.07     312.65
2014  105    630000       4.08       2.56      -2.95      -1.17     -16.70     310.90
2014  105    690000       4.08       2.62      -2.91      -1.16     -16.53     311.99
2014  105    750000       4.19       2.48      -3.08      -1.37     -19.03     308.82
2014  105    810000       4.17       2.42      -3.12      -1.34     -18.78     307.84
2014  105    870000       4.17       2.33      -3.14      -1.43     -20.14     306.66
2014  105    930000       4.12       2.25      -3.18      -1.31     -18.55     305.35
2014  105    990000       4.13       2.52      -2.96      -1.39     -19.65     310.44
2014  105   1050000       4.15       2.52      -2.86      -1.61     -22.90     311.43
2014  105   1110000       4.12       2.72      -2.69      -1.52     -21.73     315.35
2014  105   1170000       4.12       2.78      -2.56      -1.64     -23.44     317.33
2014  105   1230000       4.10       2.82      -2.51      -1.58     -22.70     318.37
2014  105   1290000       4.10       2.78      -2.59      -1.52     -21.84     317.06
2014  105   1350000       3.82       2.54      -2.22      -1.78     -27.82     318.87
2014  105   1410000       3.84       2.52      -2.22      -1.87     -29.16     318.63
2014  105   1470000       3.92       2.56      -2.24      -1.93     -29.61     318.79
2014  105   1530000       4.11       3.05      -1.98      -1.90     -27.52     327.03
2014  105   1590000       4.11       3.39      -1.38      -1.84     -26.64     337.85
2014  105   1650000       4.10       3.51      -0.96      -1.86     -27.00     344.65
2014  105   1710000       4.22       3.40      -1.39      -2.03     -28.95     337.76
2014  105   1770000       4.22       3.23      -1.75      -2.05     -29.19     331.59
2014  105   1830000       4.34       3.23      -2.21      -1.87     -25.62     325.63
2014  105   1890000       4.37       3.28      -2.03      -2.03     -27.79     328.19
2014  105   1950000       4.38       3.16      -2.12      -2.15     -29.48     326.15
2014  105   2010000       4.30       3.08      -2.25      -1.96     -27.16     323.82
2014  105   2070000       4.32       1.57      -3.14      -2.45     -34.92     296.46
2014  105   2130000       4.28       1.96      -2.90      -2.41     -34.58     303.99
2014  105   2190000       4.29       1.76      -3.10      -2.34     -33.28     299.59
2014  105   2250000       4.31       1.72      -3.13      -2.29     -32.68     298.76
2014  105   2310000       4.23       2.34      -2.83      -2.06     -29.32     309.62
2014  105   2370000       4.27       0.61      -3.60      -2.16     -30.57     279.61
2014  105   2430000       4.34       1.25      -3.50      -2.17     -30.24     289.58
2014  105   2490000       4.18       1.97      -2.81      -2.37     -34.67     305.11
2014  105   2550000       4.15       1.99      -2.72      -2.39     -35.34     306.19
2014  105   2610000       3.82       2.44      -1.14      -2.64     -44.45     335.01
2014  105   2670000       3.85       2.04      -1.10      -3.04     -52.71     331.65
2014  105   2730000       3.64       1.72      -0.90      -2.85     -55.66     332.32
2014  105   2790000       3.68       2.54      -1.20      -2.36     -40.04     334.69
2014  105   2850000       3.62       2.38      -1.36      -2.34     -40.48     330.19
2014  105   2910000       3.65       2.41      -1.56      -2.25     -38.08     327.07
2014  105   2970000       3.61       2.47      -1.52      -2.12     -36.18     328.47
2014  105   3030000       3.61       2.41      -1.47      -2.15     -37.22     328.58
2014  105   3090000       3.56       2.72      -1.30      -1.80     -30.86     334.55
2014  105   3150000       3.61       3.28      -0.79      -1.16     -18.97     346.51
2014  105   3210000       3.64       3.37      -1.33      -0.32      -5.00     338.42
2014  105   3270000       3.63       2.69      -1.58      -1.67     -28.13     329.49
2014  105   3330000       3.43       2.38      -1.65      -1.17     -21.97     325.32
2014  105   3390000       3.31       2.84      -0.74       1.18      21.94     345.37
2014  105   3450000       3.53       2.99      -0.74       1.63      27.84     346.04
2014  105   3510000       3.59       3.17      -0.82       1.48      24.28     345.50
2014  105   3570000       3.63       3.30      -0.91       1.19      19.21     344.56
2014  105   3630000       3.57       3.22      -0.91       1.25      20.48     344.17
2014  105   3690000       3.57       3.21      -0.84       1.30      21.38     345.29
2014  105   3750000       3.74       3.34      -0.82       1.45      22.93     346.24
2014  105   3810000       3.68       3.28      -0.68       1.50      24.15     348.24
2014  105   3870000       3.73       3.33      -0.68       1.52      24.16     348.52
2014  105   3930000       3.66       3.29      -0.72       1.44      23.17     347.69
2014  105   3990000       3.69       3.31      -0.73       1.43      22.85     347.62
2014  105   4050000       3.64       3.30      -0.44       1.44      23.44     352.35
2014  105   4110000       3.64       3.33      -0.36       1.43      23.08     353.78
2014  105   4170000       3.62       3.39      -0.39       1.20      19.34     353.50
2014  105   4230000       3.63       3.44      -0.32       1.13      18.19     354.69
2014  105   4290000       3.58       3.38      -0.25       1.17      19.07     355.82
2014  105   4350000       3.44       3.21      -0.21       1.21      20.59     356.24
2014  105   4410000       3.32       3.01      -0.14       1.37      24.47     357.42
2014  105   4470000       3.44       3.20      -0.02       1.25      21.25     359.73
2014  105   4530000       3.54       3.16      -0.04       1.59      26.72     359.19
2014  105   4590000       3.59       2.95       0.13       2.02      34.34       2.52
2014  105   4650000       3.65       3.21      -0.18       1.67      27.40     356.72
2014  105   4710000       3.56       3.18      -0.40       1.54      25.61     352.83
2014  105   4770000       3.60       2.94      -0.09       2.08      35.25     358.32
2014  105   4830000       3.65       3.04       0.00       2.02      33.58       0.06
2014  105   4890000       3.65       3.04      -0.31       1.98      32.87     354.17
2014  105   4950000       3.67       3.10      -0.19       1.94      32.01     356.45
2014  105   5010000       3.81       3.20      -0.43       2.01      31.88     352.34
2014  105   5070000       3.87       3.28      -0.46       1.99      31.01     352.09
2014  105   5130000       3.80       3.13      -0.82       1.97      31.38     345.31
2014  105   5190000       3.86       3.23      -0.74       1.95      30.48     347.03
2014  105   5250000       3.80       3.03      -1.32       1.23      20.37     336.42
2014  105   5310000       3.38       1.70      -2.88      -0.32      -5.39     300.53
2014  105   5370000       3.13       1.50      -2.66      -0.53      -9.92     299.54
2014  105   5430000       3.24       1.68      -2.66      -0.33      -5.92     302.27
2014  105   5490000       3.71       3.09      -1.92       0.68      10.62     328.20
2014  105   5550000       3.76       3.12      -2.04       0.44       6.80     326.84
2014  105   5610000       3.70       3.03      -2.08       0.32       4.92     325.49
2014  105   5670000       3.69       3.06      -2.06       0.15       2.36     326.01
2014  105   5730000       3.47       2.80      -2.00       0.23       3.87     324.52
2014  105   5790000       3.14       2.57      -1.74      -0.05      -0.99     325.85
2014  105   5850000       3.14       2.36      -1.97      -0.44      -8.19     320.18
2014  105   5910000       2.94       1.72      -2.12      -1.01     -20.33     309.10
2014  105   5970000       2.95       1.09      -2.33      -1.42     -28.86     294.95
2014  105   6030000       2.98       1.18      -2.36      -1.28     -25.79     296.64
2014  105   6090000       2.91       1.49      -2.31      -0.92     -18.56     302.76
2014  105   6150000       2.91       1.28      -2.44      -0.89     -17.92     297.71
2014  105   6210000       2.94       1.55      -2.27      -1.03     -20.47     304.19
2014  105   6270000       2.95       1.79      -2.16      -0.90     -17.74     309.64
2014  105   6330000       2.98       1.96      -2.08      -0.85     -16.65     313.27
2014  105   6390000       3.08       2.10      -2.14      -0.70     -13.21     314.45
2014  105   6450000       3.04       2.06      -2.11      -0.66     -12.53     314.29
2014  105   6510000       2.89       1.51      -2.39      -0.51     -10.18     302.18
2014  105   6570000       2.92       1.39      -2.41      -0.56     -11.38     299.88
2014  105   6630000       3.09       2.77      -1.00      -0.84     -15.97     340.10
2014  105   6690000       3.06       2.70      -1.30      -0.51      -9.56     334.32
2014  105   6750000       3.10       2.71      -1.35      -0.59     -10.92     333.48
2014  105   6810000       3.02       2.55      -1.47      -0.63     -12.07     330.04
2014  105   6870000       2.97       2.33      -1.78      -0.21      -4.13     322.60
2014  105   6930000       2.96       2.05      -2.08      -0.32      -6.21     314.53
2014  105   6990000       2.99       2.13      -2.05      -0.38      -7.31     316.16
2014  105   7050000       3.00       2.10      -2.04      -0.46      -8.89     315.75
2014  105   7110000       2.90       2.03      -1.98      -0.45      -9.05     315.80
2014  105   7170000       2.94       1.90      -2.04      -0.67     -13.58     312.97
2014  105   7230000       3.01       1.24      -2.72       0.35       6.62     294.43
2014  105   7290000       2.99       1.46      -2.60       0.14       2.73     299.35
2014  105   7350000       2.98       1.45      -2.60       0.07       1.32     299.18
2014  105   7410000       3.04       1.77      -2.37       0.62      11.82     306.78
2014  105   7470000       3.06       1.65      -2.52       0.49       9.30     303.12
2014  105   7530000       3.17       1.92      -2.05      -0.91     -17.91     313.21
2014  105   7590000       3.35       1.95      -1.57      -2.19     -41.24     321.24
2014  105   7650000       3.03       1.46      -2.10      -1.61     -32.31     304.80
2014  105   7710000       3.05       1.44      -2.25      -1.15     -23.32     302.65
2014  105   7770000       3.50       1.44      -1.93      -2.45     -45.50     306.77
2014  105   7830000       3.36       1.70      -1.77      -2.29     -42.96     313.83
2014  105   7890000       2.91       1.71      -1.52      -1.78     -37.83     318.32
2014  105   7950000       3.07       1.01      -1.26      -2.56     -57.76     308.62
2014  105   8010000       3.30       1.54      -0.89      -2.65     -56.21     329.81
2014  105   8070000       3.50       2.36       0.17      -2.55     -47.14       4.06
2014  105   8130000       3.42       2.21      -0.12      -2.58     -49.33     356.96
2014  105   8190000       3.26       2.01      -0.18      -2.55     -51.53     354.87
2014  105   8250000       3.14       2.15      -0.45      -2.16     -44.49     348.29
2014  105   8310000       3.41       2.09      -0.05      -2.67     -52.00     358.69
2014  105   8370000       3.26       0.45      -0.28      -2.94     -79.79     328.32
2014  105   8430000       3.21      -0.75      -0.31      -3.09     -75.23     202.15
2014  105   8490000       3.12      -0.05       0.06      -3.08     -88.47     131.57
2014  105   8550000       2.93       2.38       0.59      -0.32      -7.40      13.85
2014  105   8610000       2.90       2.82       0.65       0.03       0.64      12.94
2014  105   8670000       2.89       2.63       0.38      -0.78     -16.43       8.18
2014  105   8730000       3.05       2.48       0.97      -1.31     -26.17      21.42
2014  105   8790000       2.99       2.02       0.18      -2.02     -44.81       5.19
2014  105   8850000       2.94       2.26      -0.12      -1.73     -37.49     357.00
2014  105   8910000       3.07       0.79      -0.16      -2.05     -68.63     348.74
2014  105   8970000       3.10       2.76       0.40      -1.22     -23.75       8.17
2014  105   9030000       3.16       2.09      -0.03      -2.32     -47.89     359.16
2014  105   9090000       3.11       1.51      -0.41      -2.33     -56.15     344.92
2014  105   9150000       3.15       1.46      -1.27      -2.31     -50.03     318.93
2014  105   9210000       3.09       0.57      -0.91      -2.85     -69.36     302.20
2014  105   9270000       3.15       0.66      -0.55      -2.97     -73.88     320.44
2014  105   9330000       2.81       0.73      -0.72      -2.56     -68.29     315.32
2014  105   9390000       2.69       1.78      -0.08      -1.97     -47.86     357.52
2014  105   9450000       2.84       2.20       0.27      -1.74     -38.07       6.96
2014  105   9510000       2.81       2.36       0.65      -1.06     -23.42      15.50
2014  105   9570000       2.63       0.97      -0.75      -0.91     -36.57     322.32
2014  105   9630000       2.71      -1.41      -0.17      -2.16     -56.78     186.96
2014  105   9690000       2.71       0.21      -1.14      -2.24     -62.60     280.65
2014  105   9750000       2.51      -0.50      -0.34      -2.33     -75.52     214.42
2014  105   9810000       2.64       0.18      -0.16      -2.61     -84.69     318.72
2014  105   9870000       2.48       0.04      -0.16      -2.43     -86.21     282.58
2014  105   9930000       2.44      -0.74      -0.23      -2.28     -71.16     197.43
2014  105   9990000       2.49       0.17       0.19      -2.44     -83.98      48.45
2014  105  10050000       3.03       0.25       0.06      -3.02     -85.12      12.55
2014  105  10110000       3.21       0.29      -0.05      -3.19     -84.65     349.44
2014  105  10170000       3.15       0.34      -0.13      -3.01     -83.02     338.89
2014  105  10230000       3.00       0.41       0.02      -2.93     -82.11       2.14
2014  105  10290000       2.89       1.02       0.40      -2.24     -63.97      21.32
2014  105  10350000       2.53       2.36       0.82      -0.12      -2.72      19.21
2014  105  10410000       2.68       2.56       0.75       0.04       0.79      16.39
2014  105  10470000       2.97       2.84       0.86       0.01       0.21      16.79
2014  105  10530000       3.65       3.51       0.97       0.29       4.53      15.40
2014  105  10590000       4.01       3.89       0.92      -0.11      -1.55      13.36
2014  105  10650000       4.11       3.96       1.06       0.21       2.88      14.96
2014  105  10710000       4.12       3.89       1.29       0.40       5.58      18.40
2014  105  10770000       4.14       3.92       1.16       0.63       8.70      16.41
2014  105  10830000       4.12       3.86       1.14       0.87      12.23      16.45
2014  105  10890000       4.11       3.86       1.02       0.97      13.61      14.75
2014  105  10950000       4.11       3.88       0.92       0.94      13.24      13.36
2014  105  11010000       4.17       3.98       0.79       0.98      13.64      11.25
2014  105  11070000       4.23       4.07       0.68       0.95      13.00       9.53
2014  105  11130000       4.22       4.03       0.58       1.09      15.04       8.22
2014  105  11190000       4.23       4.06       0.47       1.07      14.63       6.59
2014  105  11250000       4.19       3.98       0.33       1.25      17.40       4.80
2014  105  11310000       4.22       4.03       0.29       1.23      16.90       4.07
2014  105  11370000       4.26       4.04       0.31       1.31      17.93       4.40
2014  105  11430000       4.28       4.10       0.37       1.18      15.96       5.16
2014  105  11490000       4.30       4.12       0.37       1.18      15.91       5.14
2014  105  11550000       4.32       4.13       0.35       1.20      16.10       4.82
2014  105  11610000       4.34       4.16       0.38       1.17      15.62       5.21
2014  105  11670000       4.27       3.90      -0.21       1.67      23.20     356.95
2014  105  11730000       4.29       4.02      -0.10       1.45      19.82     358.51
2014  105  11790000       4.29       4.08      -0.05       1.32      17.90     359.29
2014  105  11850000       4.33       4.19      -0.09       1.03      13.76     358.84
2014  105  11910000       4.19       3.98      -0.38       1.15      16.12     354.53
2014  105  11970000       4.35       4.08      -0.24       1.35      18.35     356.60
2014  105  12030000       4.20       3.86      -0.14       1.62      22.79     357.93
2014  105  12090000       4.39       4.10      -0.39       1.52      20.18     354.51
2014  105  12150000       4.39       4.02      -0.53       1.66      22.23     352.46
2014  105  12210000       4.36       3.85      -0.91       1.82      24.73     346.66
2014  105  12270000       4.35       3.68      -0.92       2.11      29.10     345.92
2014  105  12330000       4.30       3.58      -0.81       2.23      31.22     347.21
2014  105  12390000       4.25       3.62      -0.91       2.01      28.35     345.89
2014  105  12450000       4.29       3.83      -0.85       1.74      23.97     347.41
2014  105  12510000       4.51       4.06      -1.09       1.62      21.04     345.04
2014  105  12570000       4.67       4.20      -1.25       1.59      19.92     343.41
2014  105  12630000       4.63       4.17      -1.47       1.38      17.33     340.58
2014  105  12690000       4.55       4.17      -1.42       1.12      14.22     341.19
2014  105  12750000       4.65       4.28      -1.57       0.89      10.99     339.81
2014  105  12810000       4.67       4.33      -1.46       0.91      11.29     341.37
2014  105  12870000       4.65       4.25      -1.73       0.60       7.49     337.81
2014  105  12930000       4.69       4.15      -2.09       0.61       7.44     333.23
2014  105  12990000       4.42       4.19      -1.27       0.53       6.90     343.10
2014  105  13050000       3.60       2.85      -2.13       0.47       7.48     323.18
2014  105  13110000       3.73       3.41      -1.44      -0.03      -0.53     337.03
2014  105  13170000       4.56       3.83      -2.44       0.14       1.76     327.51
2014  105  13230000       4.10       3.32      -2.41       0.01       0.09     323.98
2014  105  13290000       3.65       2.48      -2.61      -0.20      -3.20     313.59
2014  105  13350000       3.35       2.25      -2.45      -0.10      -1.67     312.57
2014  105  13410000       3.35       1.94      -2.70      -0.11      -1.95     305.69
2014  105  13470000       3.42       1.15      -3.07      -0.55      -9.59     290.49
2014  105  13530000       3.49       1.00      -3.28      -0.15      -2.58     286.98
2014  105  13590000       3.44       1.64      -3.01      -0.07      -1.16     298.59
2014  105  13650000       3.52       1.60      -3.05      -0.70     -11.46     297.77
2014  105  13710000       3.69       1.21      -3.43      -0.54      -8.51     289.49
2014  105  13770000       3.52       1.06      -3.24      -0.82     -13.53     288.17
2014  105  13830000       3.49       1.41      -2.99      -1.08     -18.03     295.27
2014  105  13890000       3.63       1.40      -3.16      -0.97     -15.73     293.90
2014  105  13950000       3.49       1.29      -3.11      -0.80     -13.30     292.49
2014  105  14010000       3.43       1.40      -3.08      -0.61     -10.19     294.41
2014  105  14070000       3.41       1.36      -3.04      -0.72     -12.22     294.09
2014  105  14130000       3.38       1.20      -3.04      -0.84     -14.37     291.54
2014  105  14190000       3.36       1.39      -2.96      -0.73     -12.64     295.12
2014  105  14250000       3.25       1.29      -2.84      -0.87     -15.57     294.47
2014  105  14310000       3.35       1.24      -2.95      -0.97     -16.92     292.80
2014  105  14370000       3.25       0.72      -2.90      -1.23     -22.30     283.89
2014  105  14430000       3.20       0.42      -2.99      -1.06     -19.30     277.92
2014  105  14490000       3.51       0.01      -3.20      -1.40     -23.58     270.09
2014  105  14550000       3.62      -0.47      -3.20      -1.58     -26.03     261.72
2014  105  14610000       3.57      -0.55      -3.08      -1.72     -28.89     259.94
2014  105  14670000       3.57      -0.62      -3.12      -1.61     -26.93     258.77
2014  105  14730000       3.54      -0.72      -3.15      -1.46     -24.29     257.07
2014  105  14790000       3.51      -0.59      -3.14      -1.44     -24.32     259.42
2014  105  14850000       3.49      -0.52      -3.17      -1.35     -22.83     260.75
2014  105  14910000       3.51      -0.57      -3.17      -1.40     -23.48     259.88
2014  105  14970000       3.39      -0.55      -3.07      -1.31     -22.82     259.80
2014  105  15030000       3.32      -0.55      -3.00      -1.30     -23.05     259.66
2014  105  15090000       3.39      -0.70      -3.05      -1.29     -22.41     257.05
2014  105  15150000       3.56      -0.08      -2.49      -2.43     -44.33     268.25
2014  105  15210000       3.69       0.18      -1.62      -3.31     -63.85     276.30
2014  105  15270000       3.49       0.21      -1.66      -3.05     -61.18     277.20
2014  105  15330000       3.42       0.44      -1.61      -2.97     -60.63     285.32
2014  105  15390000       3.39       0.33      -1.35      -3.08     -65.65     283.72
2014  105  15450000       3.26       0.11      -1.53      -2.85     -61.75     274.00
2014  105  15510000       3.52      -0.57      -2.06      -2.79     -52.50     254.45
2014  105  15570000       3.49      -0.89      -1.98      -2.72     -51.49     245.85
2014  105  15630000       3.38      -1.13      -1.90      -2.53     -48.85     239.29
2014  105  15690000       3.37      -0.73      -1.63      -2.82     -57.69     245.89
2014  105  15750000       3.32      -1.08      -1.32      -2.85     -59.16     230.68
2014  105  15810000       3.29      -1.51      -1.13      -2.68     -54.79     216.89
2014  105  15870000       3.39      -1.35      -1.55      -2.68     -52.50     228.90
2014  105  15930000       3.27      -0.25      -1.50      -2.82     -61.73     260.53
2014  105  16050000       3.18      -0.02      -1.93      -2.51     -52.45     269.40
2014  105  16110000       3.14      -0.47      -1.96      -2.38     -49.65     256.57
2014  105  16170000       3.03      -0.26      -2.34      -1.88     -38.57     263.65
2014  105  16230000       2.99      -0.62      -2.05      -2.04     -43.51     253.07
2014  105  16290000       2.70      -0.38      -1.90      -1.84     -43.43     258.75
2014  105  16350000       2.72      -0.43      -1.88      -1.90     -44.62     257.03
2014  105  16410000       2.77      -0.69      -1.74      -2.04     -47.47     248.45
2014  105  16470000       2.80      -0.67      -1.78      -2.05     -47.17     249.27
2014  105  16530000       2.79      -0.89      -1.04      -2.37     -59.97     229.48
2014  105  16590000       2.84      -0.94      -0.96      -2.50     -61.78     225.67
2014  105  16650000       2.76      -0.82      -1.14      -2.36     -59.23     234.46
2014  105  16710000       2.75      -0.93      -1.14      -2.33     -57.73     230.79
2014  105  16770000       2.74      -1.00      -0.91      -2.37     -60.35     222.43
2014  105  16830000       2.69      -1.05      -0.92      -2.29     -58.74     221.33
2014  105  16890000       2.65      -1.10      -0.98      -2.18     -55.94     221.68
2014  105  16950000       2.75      -1.14      -0.59      -2.41     -61.97     207.38
2014  105  17010000       2.75      -1.09      -0.21      -2.50     -66.08     190.82
2014  105  17070000       2.91      -1.10      -0.34      -2.66     -66.67     197.17
2014  105  17130000       2.83      -1.10      -0.29      -2.58     -66.12     194.79
2014  105  17190000       2.74      -1.07      -0.68      -2.34     -61.53     212.48
2014  105  17250000       3.13      -1.05      -0.03      -2.92     -70.29     181.75
2014  105  17310000       3.16      -1.07       0.02      -2.97     -70.09     178.87
2014  105  17610000       3.22      -0.76      -0.18      -3.11     -75.81     193.38
2014  105  17670000       3.11      -0.57       0.87      -2.90     -70.28     123.57
2014  105  17730000       3.13      -0.52       0.72      -2.98     -73.37     126.00
2014  105  17790000       3.28      -0.43       0.66      -3.16     -75.94     122.82
2014  105  17850000       2.78       0.01      -1.59       0.01       0.53     270.44
2014  105  17910000       2.98       0.07      -2.57       1.49      30.16     271.47
2014  105  17970000       3.16       0.12      -2.85       1.27      24.02     272.32
2014  105  18030000       3.26       0.10      -2.90       1.48      27.00     271.88
2014  105  18150000       3.33       0.33      -3.06       1.26      22.36     276.09
2014  105  18210000       3.32       0.16      -3.18       0.93      16.36     272.96
2014  105  18270000       3.28      -0.04      -3.13       0.96      16.98     269.22
2014  105  18330000       3.30      -0.23      -3.25       0.49       8.54     265.93
2014  105  18390000       3.02       0.02      -2.68       1.26      25.11     270.44
2014  105  18450000       2.98       0.46      -2.42       1.66      34.06     280.85
2014  105  18510000       2.78      -0.07      -2.12      -0.21      -5.59     268.07
2014  105  18570000       2.79      -0.78      -1.08      -2.44     -61.37     233.89
2014  105  18630000       2.17      -0.47      -0.24      -2.08     -75.80     206.64
2014  105  18690000       1.53      -0.32       0.08      -1.48     -77.36     166.08
2014  105  18750000       1.95      -0.96      -0.14      -1.69     -60.10     188.26
2014  105  18810000       1.80      -0.56       0.10      -1.70     -71.46     169.51
2014  105  18870000       2.21      -0.84       0.29      -2.01     -66.08     161.01
2014  105  18930000       2.26      -1.06       0.52      -1.92     -58.40     153.89
2014  105  18990000       2.06      -0.72       0.43      -1.87     -65.77     148.88
2014  105  19050000       1.34      -0.30       0.02      -1.29     -76.75     175.92
2014  105  19110000       2.34      -0.62       0.02      -2.23     -74.44     177.99
2014  105  19170000       2.29      -0.68       0.01      -2.16     -72.42     179.39
2014  105  19230000       1.64      -0.41       0.01      -1.56     -75.43     178.21
2014  105  19290000       2.77      -1.75      -1.01      -1.61     -38.48     209.86
2014  105  19350000       3.07      -2.49      -1.18      -1.27     -24.74     205.29
2014  105  19410000       3.08      -2.73      -1.36      -0.11      -2.03     206.60
