    Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz      Epsilon  
                           nT         nT         nT         nT      10^11 W  
2012  318    211077      23.77      10.87     -11.18      17.77      0.286
2012  318    306450      23.75       8.02     -12.51      18.46      0.352
2012  318    404681      23.29       6.69     -16.11      15.33      1.109
2012  318    502913      24.24       7.53     -17.57      14.77      1.571
2012  318    601145      22.56       5.11     -18.19      11.47      2.342
2012  318    701623      22.31       2.61     -20.27       7.35      4.572
2012  318    797467      20.60       4.41     -17.93       9.08      2.724
2012  318    895699      20.78       4.63     -18.30       8.33      3.184
2012  318    993930      21.03       4.92     -19.89       4.60      5.553
2012  318   1098301      22.04       5.77     -21.15       0.59      9.750
2012  318   1187324      21.16       5.87     -20.26       0.75      8.916
2012  318   1288625      21.63       5.89     -20.37       3.50      6.846
2012  318   1386857      21.31       4.95     -20.52       1.52      8.327
2012  318   1485088      21.09       5.04     -19.46      -5.01     14.694
2012  318   1583320      20.64       5.17     -18.96      -5.39     14.622
2012  318   1877980      19.10       1.68     -18.84      -2.17      9.673
2012  318   1976211      18.91       2.32     -18.63      -1.57      8.888
2012  318   2080582      19.43       2.18     -19.00      -3.35     10.940
2012  318   2175745      19.93       3.98     -19.01      -4.15     12.384
2012  318   2270906      20.35       3.63     -19.69      -3.55     12.152
2012  318   2366279      19.55       4.18     -18.68      -3.84     11.615
2012  318   2467405      18.44       4.78     -17.35      -3.88     10.673
2012  318   2565601      18.04       6.88     -15.79      -5.20     11.802
2012  318   2660939      18.24       7.64     -15.09      -6.68     13.636
2012  318   2759135      21.96       7.64     -15.60     -13.25     27.111
2012  318   2860297      22.61       8.43     -15.73     -13.86     30.078
2012  318   2958528      22.75       7.13     -14.57     -15.88     33.268
2012  318   3062934      23.43       6.54     -14.42     -17.20     37.005
2012  318   3145818      23.15       7.07     -14.47     -16.59     35.456
2012  318   3253223      22.64       9.13     -16.19     -12.26     28.163
2012  318   3343957      22.53      11.47     -18.28      -5.46     17.300
2012  318   3452898      23.04      12.92     -18.74      -2.97     14.563
2012  318   3538062      23.31      15.97     -16.44      -1.70     12.906
2012  318   3652326      23.50      15.83     -16.76      -3.61     16.745
2012  318   3738243      23.12      14.96     -17.55      -0.67     11.557
2012  318   3841080      22.88      15.44     -16.79      -0.92     11.751
2012  318   3940847      22.62      13.44     -17.98      -1.97     13.002
2012  318   4045218      21.83      11.31     -18.43       1.79      8.260
2012  318   4137486      21.17       9.92     -18.17       3.78      6.149
2012  318   4240147      20.74       8.34     -18.51       4.09      5.819
2012  318   4333775      20.87       8.76     -18.43       2.51      7.257
2012  318   4432007      20.90      11.33     -17.53       0.49      8.760
2012  318   4530239      20.91      10.76     -17.88       1.11      8.438
2012  318   4628471      21.39      11.15     -18.05       2.16      7.749
2012  318   4726703      21.56      11.60     -17.81       3.55      6.518
2012  318   4822041      21.66      11.98     -17.46       4.34      5.797
2012  318   4920273      21.34      11.07     -17.03       6.13      4.245
2012  318   5027679      20.00       2.89      -9.81      15.79      0.191
2012  318   5122666      19.83       2.80      -9.47      16.11      0.154
2012  318   5217864      19.85       9.80     -12.75      11.07      1.010
2012  318   5316096      19.86       5.44      -9.91      16.30      0.180
2012  318   5414328      19.66       3.71      -6.67      17.89      0.033
2012  318   5512700      18.98       1.66      -4.87      18.20      0.009
2012  318   5610967      20.06       4.46     -10.88      16.13      0.253
2012  318   5709164      19.79       4.65     -11.71      15.07      0.371
2012  318   5807397      19.62       4.05     -10.43      16.03      0.223
2012  318   5905629      19.40       3.71     -10.60      15.74      0.242
2012  318   6012930      19.50       3.34     -10.67      15.94      0.237
2012  318   6105198      19.69       2.08     -10.34      16.51      0.200
2012  318   6204790      19.65       2.01     -11.21      15.93      0.287
2012  318   6307802      19.14       3.28     -11.86      14.53      0.419
2012  318   6396791      19.31       1.94     -11.13      15.64      0.294
2012  318   6496487      14.65       6.21     -12.65       3.74      2.596
2012  318   6594719      15.97      -3.43       3.10      12.06      0.006
2012  318   6694486      14.41      -5.65       7.05      10.49      0.144
2012  318   6786719      15.19      -4.44       5.76      13.01      0.041
2012  318   6883276      14.66      -6.15      11.57       6.40      1.363
2012  318   6998392      15.04      -6.58      10.72       8.17      0.834
2012  318   7084345      15.36      -7.72      11.21       4.83      2.048
2012  318   7175691      14.34      -0.87      -2.05      10.18      0.002
2012  318   7268602      15.80       4.35     -11.71       9.42      0.770
2012  318   7379112      17.31       6.08     -11.02      11.76      0.470
2012  318   7477344      17.55       5.57     -10.25      13.03      0.302
2012  318   7575576      17.46       5.10      -8.60      14.12      0.139
2012  318   7673809      16.93       4.69      -8.86      13.55      0.164
2012  318   7768936      16.82       4.61      -8.74      13.52      0.156
2012  318   7867168      17.11       2.90      -9.52      13.59      0.212
2012  318   7971576      16.74       6.14     -10.83      11.10      0.479
2012  318   8066703      16.67       4.43     -10.93      11.75      0.424
2012  318   8161900      17.10       7.63      -8.92      12.28      0.227
2012  318   8260134      17.38      10.15      -7.66      11.85      0.165
2012  318   8358366      17.23       9.15      -8.37      11.96      0.206
2012  318   8456633      17.24       8.91      -8.49      12.07      0.209
2012  318   8554865      16.64       8.19      -8.70      11.56      0.236
2012  318   8649992      16.13       6.35      -6.05      13.36      0.044
2012  318   8748225      16.29       5.50      -5.95      14.09      0.035
2012  318   8846458      16.50       5.55      -5.71      14.12      0.031
2012  318   8950011      16.46       6.98      -7.66      12.44      0.125
2012  318   9043569      16.13       8.43      -9.42       9.96      0.398
2012  318   9137944      16.49      10.29     -10.15       7.85      0.828
2012  318   9239387      16.46       7.74      -9.12      10.99      0.303
2012  318   9337478      16.79       8.80     -11.70       8.22      1.067
2012  318   9435711      16.87       8.75     -11.95       8.00      1.174
2012  318   9531013      17.24       9.40     -12.07       7.85      1.284
2012  318   9629246      17.44       9.33     -13.22       6.49      1.968
2012  318   9724233      17.32       8.78     -13.65       5.98      2.231
2012  318   9822640      17.28       8.85     -13.46       6.20      2.099
2012  318   9928408      17.40       8.81     -12.99       7.49      1.574
2012  318  10025105      17.39       8.51     -13.58       6.71      1.935
2012  318  10120267      17.61       7.97     -14.25       6.60      2.161
2012  318  10215430      17.41       8.58     -13.71       6.43      2.056
2012  318  10313662      17.47       9.06     -14.30       2.96      3.999
2012  318  10408825      19.06      10.99     -15.21      -3.12     10.614
2012  318  10513162      20.40      11.11     -16.97      -0.94      9.579
2012  318  10605254      20.14      10.41     -17.07      -1.41      9.714
2012  318  10709627      19.73       8.87     -16.67      -5.58     13.970
2012  318  10798649      19.16      10.27     -15.94      -2.51     10.010
2012  318  10907767      19.12       9.63     -16.15      -1.78      9.188
2012  318  11001254      19.25       8.75     -16.92      -0.70      8.282
2012  318  11094240      18.52       9.02     -15.89       1.55      5.794
2012  318  11197930      13.66       5.21     -12.33       0.46      3.797
2012  318  11302266      12.85      -1.57      -1.67      10.26      0.001
2012  318  11394360      13.48      -6.15       6.51       9.95      0.105
2012  318  11492590      14.08      -7.34       9.19       7.68      0.554
2012  318  11590824      12.70      -6.78       8.26       6.76      0.470
2012  318  11685987      12.10      -6.88       8.43       5.26      0.705
2012  318  11784184      12.04      -7.09       8.34       4.99      0.748
2012  318  11890090      12.09      -6.15       7.89       6.71      0.396
2012  318  11983718      11.81      -5.98       7.48       6.90      0.315
2012  318  12078881      11.94      -6.25       7.26       7.12      0.279
2012  318  12177149      12.63      -5.72       9.79       4.88      1.054
2012  318  12275344      12.87      -5.71      10.65       4.36      1.367
2012  318  12371191      12.52      -6.47       9.06       5.27      0.828
2012  318  12471810      10.06      -3.04       9.08       1.47      1.534
2012  318  12570079       9.65      -2.26       8.87       2.84      0.972
2012  318  12668276      11.95      -4.33       9.38       3.51      1.303
2012  318  12763439      11.63      -5.56       9.04       4.52      0.895
2012  318  12867810      11.58      -6.62       6.18       7.01      0.180
2012  318  12966043      10.64      -6.17       5.32       5.84      0.170
2012  318  13051996      10.36      -1.92      -1.96       5.26      0.009
2012  318  13162507      11.83       1.56      -9.97       6.05      0.683
2012  318  13254601      10.73       1.67      -7.39       7.43      0.204
2012  318  13356584      11.56       2.70      -8.13       7.53      0.286
2012  318  13454135      12.10       4.34      -9.73       5.42      0.803
2012  318  13552367      13.26       4.04      -9.21       8.34      0.400
2012  318  13650600      14.04       5.39      -9.55       8.44      0.470
2012  318  13749514      14.20       5.37     -10.31       8.01      0.623
2012  318  13845530      13.85       5.50     -10.93       6.26      0.998
2012  318  13945297      13.67       5.39     -10.57       6.73      0.833
2012  318  14040460      13.10       5.54      -9.85       6.42      0.738
2012  318  14139375      12.10       4.50     -11.07       1.63      2.240
2012  318  14227750      10.71       5.81      -6.03       3.25      0.649
2012  318  14335839      10.82       7.35      -6.74       1.25      1.615
2012  318  14431002      10.11       6.45      -7.62      -0.78      2.562
2012  318  14526165       9.96       5.58      -7.49      -2.73      3.740
2012  318  14624397       9.84       1.89      -5.51      -7.03      6.458
2012  318  14719560       7.83       0.30      -0.62      -7.59      5.134
2012  318  14825537       7.19       0.23      -0.30      -5.63      4.372
2012  318  14919095       7.23       1.64      -5.45       4.28      0.159
2012  318  15016645      11.78       3.34     -10.20       4.78      0.946
2012  318  15114877      12.25       3.36     -10.70       4.84      1.065
2012  318  15213110      11.93       2.88     -10.97       3.39      1.455
2012  318  15311342      11.40       3.79     -10.39       2.35      1.628
2012  318  15409575      11.39       3.79     -10.41       2.14      1.692
2012  318  15511560      11.76       3.58     -10.95       2.12      1.885
2012  318  15603652      11.55       3.81     -10.68       1.70      1.972
2012  318  15708025      11.44       4.09     -10.41       0.21      2.621
2012  318  15804040      11.75       5.20     -10.18       2.61      1.604
2012  318  15900737      11.49       5.85      -8.79       4.32      0.837
2012  318  15995900      11.56       5.03     -10.12       1.86      1.830
2012  318  16097202      11.84       4.19     -10.13       4.26      1.091
2012  318  16192364      11.76       3.75     -10.86       2.24      1.815
2012  318  16290597      10.76       1.09      -9.96       0.26      2.300
2012  318  16394968       9.66      -1.67      -8.64      -1.09      2.541
2012  318  16683527       9.77      -2.88      -8.47      -3.00      3.586
2012  318  16786363       9.97      -2.25      -9.40       0.99      1.665
2012  318  16883027       9.22      -0.05      -8.81       2.23      1.007
2012  318  16981292       9.59      -1.53      -9.28       1.37      1.421
2012  318  17076318      10.05      -0.19      -9.60       2.53      1.173
2012  318  17177759       9.66      -1.22      -8.91       3.32      0.845
2012  318  17275992       9.14      -0.62      -7.92       3.64      0.605
2012  318  17365015       9.30       1.39      -6.89       5.98      0.218
2012  318  17469388       9.35       1.17      -7.52       5.28      0.337
2012  318  17570689       9.15       0.69      -7.34       5.34      0.304
2012  318  17662783       9.74       0.97      -7.56       6.03      0.288
2012  318  17764083       9.09      -0.81      -5.69       6.48      0.109
2012  318  17865386       9.03      -2.80      -4.03       7.52      0.025
2012  318  17951339       8.67      -1.87      -4.90       6.52      0.066
2012  318  18058781       9.04      -0.29      -8.53       2.72      0.847
2012  318  18150839       8.98      -1.18      -8.05       3.18      0.699
2012  318  18249072       8.93      -1.18      -8.50       1.85      1.071
2012  318  18344234       9.16       0.77      -8.69       2.43      0.950
2012  318  18451710       9.40      -3.12      -6.53       5.86      0.212
2012  318  18543804       9.89      -5.18      -5.23       6.58      0.101
2012  318  18642039       8.19      -2.12      -2.66       7.17      0.006
2012  318  18747943       4.21      -3.02       0.78       2.79      0.001
2012  318  18838503       5.54      -3.75       1.58       3.64      0.005
2012  318  18933666       6.16      -3.82      -0.06       4.62      0.000
2012  318  19031898       6.85      -3.84       4.29       2.85      0.207
2012  318  19130130       7.58      -2.20       7.13      -0.14      1.316
2012  318  19228363       7.42      -2.86       3.86       1.66      0.448
2012  318  19326595      10.52       0.25      -9.90       3.40      1.114
2012  318  19424792      10.60      -0.15      -9.22       5.12      0.657
2012  318  19525990      10.69      -4.90      -6.00       7.13      0.142
2012  318  19621292      10.60      -3.55      -7.17       6.76      0.246
2012  318  19727164      10.45      -5.20      -5.26       6.21      0.138
2012  318  19825291      10.31      -7.76      -1.58       6.58      0.002
2012  318  19920455      10.27      -7.94      -1.09       6.39      0.000
2012  318  20017292      10.25      -7.95      -0.00       6.18      0.000
2012  318  20116919      10.27      -8.44      -2.19       5.27      0.014
2012  318  20215152      10.08      -8.36      -0.17       5.31      0.000
2012  318  20311990      10.04      -8.11       0.25       5.63      0.000
2012  318  20410046      10.04      -7.53      -2.59       5.87      0.016
2012  318  20509988      10.07      -7.90      -0.75       5.55      0.000
2012  318  20603582      10.16      -3.63      -5.80       7.47      0.100
2012  318  20709488      10.23      -5.21      -5.23       6.71      0.103
2012  318  20803119      10.26      -5.86      -5.03       6.73      0.092
2012  318  20901246      10.49      -7.03      -4.74       6.14      0.106
2012  318  20996513      10.54      -7.29      -5.35       5.36      0.211
2012  318  21094744      10.30      -5.04      -5.54       6.91      0.113
2012  318  21192978      10.07      -3.39      -5.38       7.77      0.069
2012  318  21291210      10.51      -6.74      -5.72       3.81      0.482
2012  318  21398511      10.54      -7.54      -6.75       2.76      0.958
2012  318  21487675      10.64      -6.98      -6.83       4.02      0.614
2012  318  21588837      10.66      -6.97      -6.88       4.17      0.590
2012  318  21691673      10.67      -6.81      -7.28       3.78      0.735
2012  318  21785443      10.73      -6.99      -6.71       4.35      0.532
2012  318  21880605      10.76      -5.70      -8.25       3.86      0.853
2012  318  21981767      10.73      -6.62      -7.27       4.27      0.627
2012  318  22077070      10.71      -6.81      -6.84       4.62      0.495
2012  318  22175302      10.67      -6.93      -6.22       5.18      0.330
2012  318  22276464      10.55      -6.93      -5.92       5.30      0.275
2012  318  22374697      10.69      -7.09      -5.75       5.42      0.251
2012  318  22472929      10.80      -8.31      -2.27       6.47      0.008
2012  318  22571197      10.99      -8.89      -0.88       6.24      0.000
2012  318  22674175      11.21      -9.29       1.65       6.02      0.004
2012  318  22770871      11.39      -9.42       1.15       6.30      0.001
2012  318  22862966      11.21      -9.39       0.15       6.10      0.000
2012  318  22961199      11.27      -9.46       0.15       6.11      0.000
2012  318  23059431      11.39      -9.73      -0.92       5.86      0.000
2012  318  23157664      11.58     -10.56      -0.06       4.56      0.000
2012  318  23255894      11.73     -11.06       0.63       3.83      0.001
2012  318  23354128      11.76     -11.21       0.19       3.49      0.000
2012  318  23452361      11.85     -11.19       1.11       3.65      0.006
2012  318  23550593      11.87      -9.81      -0.54       5.94      0.000
2012  318  23653394      12.02      -9.25      -2.48       7.25      0.009
2012  318  23746882      11.94      -9.08      -2.84       7.21      0.016
2012  318  23842044      11.87      -8.94      -3.19       7.12      0.024
2012  318  23940279      11.99      -8.76      -3.82       7.24      0.043
2012  318  24038509      12.12      -8.75      -4.19       7.26      0.059
2012  318  24136849      11.92      -8.41      -4.51       7.14      0.076
2012  318  24234976      12.02      -8.69      -4.25       7.12      0.065
2012  318  24333208      12.16      -8.72      -4.38       7.25      0.069
2012  318  24431441      12.04      -8.77      -4.17       7.07      0.063
2012  318  24529673      12.26      -9.23      -3.26       7.37      0.025
2012  318  24632650      12.42      -9.23      -3.23       7.65      0.022
2012  318  24729207      12.41      -9.35      -2.97       7.60      0.016
2012  318  24821300      11.97      -8.96      -2.87       7.37      0.015
2012  318  24919673      11.85      -8.91      -2.47       7.32      0.009
2012  318  25017943      11.57      -9.01      -2.17       6.87      0.007
2012  318  25116173      12.08      -8.99      -1.20       7.85      0.000
2012  318  25214406      12.18      -9.27      -1.03       7.78      0.000
2012  318  25312640      12.12      -9.50      -0.86       7.47      0.000
2012  318  25410873      12.17      -9.45      -0.89       7.60      0.000
2012  318  25509105      12.41      -9.34      -1.19       8.08      0.000
2012  318  25611941      12.31      -9.21      -1.02       8.09      0.000
2012  318  25708638      12.63      -9.27      -0.98       8.52      0.000
2012  318  25803802      12.39      -9.05      -0.88       8.40      0.000
2012  318  25898962      12.47      -8.82      -0.32       8.80      0.000
2012  318  25997199      12.56      -9.21      -0.56       8.52      0.000
2012  318  26095429      12.44      -8.82      -0.96       8.70      0.000
2012  318  26195197      12.55      -8.63      -1.49       8.91      0.001
2012  318  26293427      12.47      -8.12      -0.46       9.23      0.000
2012  318  26390128      12.14      -7.95       2.90       8.48      0.010
2012  318  26489894      11.80      -8.24       0.98       8.36      0.000
2012  318  26594267      11.89      -8.32      -0.30       8.43      0.000
2012  318  26683291      12.27      -8.19      -1.04       9.07      0.000
2012  318  26783056      11.58      -7.87      -1.09       8.11      0.000
2012  318  26879755      11.31      -7.21      -2.84       8.08      0.009
2012  318  26976453      11.27      -6.11      -2.94       8.91      0.007
2012  318  27074683      11.13      -5.32      -3.09       9.23      0.007
2012  318  27174451      10.80      -5.20      -4.57       8.17      0.043
2012  318  27271152      10.78      -3.24      -5.59       8.59      0.068
2012  318  27369382      10.97      -4.01      -5.26       8.65      0.058
2012  318  27467615      10.83      -2.93      -3.97       9.47      0.016
2012  318  27570451      10.95      -3.46      -4.54       9.28      0.028
2012  318  27667150      11.10      -3.90      -4.39       9.31      0.025
2012  318  27763742      11.16      -4.55      -4.15       9.09      0.023
2012  318  27860439      16.78     -12.08       3.05      11.24      0.008
2012  318  27957138      16.66     -11.81       3.70      11.14      0.017
2012  318  28050048      17.74     -11.94       4.45      12.30      0.026
2012  318  28152173      18.63     -13.32       2.74      12.61      0.004
2012  318  28248765      19.22     -14.48       2.87      12.23      0.006
2012  318  28348638      19.15     -14.02       5.16      11.84      0.058
2012  318  28443835      19.43     -14.10       5.09      12.21      0.049
2012  318  28548207      19.82     -13.83       4.86      13.28      0.032
2012  318  28643371      20.00     -12.13       5.16      15.01      0.025
2012  318  28744673      19.09     -13.52       5.95      12.05      0.083
2012  318  28835947      19.55     -13.26       5.16      13.34      0.037
2012  318  28930253      18.92     -12.53       6.11      12.74      0.073
2012  318  29033949      19.03     -12.68       6.16      12.69      0.077
2012  318  29133716      19.51     -12.73       5.22      13.83      0.034
2012  318  29230414      19.65     -13.07       5.93      13.41      0.059
2012  318  29327789      19.63     -13.32       5.95      13.11      0.065
2012  318  29428414      19.66     -12.77       5.76      13.79      0.049
2012  318  29527498      20.82     -13.11       5.93      15.03      0.046
2012  318  29622626      20.89     -13.33       4.75      15.35      0.019
2012  318  29717791      21.18     -13.60       4.02      15.69      0.009
2012  318  29806847      21.17     -11.37       4.76      17.09      0.012
2012  318  29915824      21.06     -12.05       5.87      16.10      0.034
2012  318  30015626      20.80     -12.73       9.68      13.02      0.361
2012  318  30106863      20.65     -12.91       6.03      14.66      0.050
2012  318  30211205      20.46     -13.41       6.34      13.94      0.069
2012  318  30304150      21.03     -13.10       4.25      15.84      0.011
2012  318  30405453      21.14     -13.26       5.98      15.25      0.044
2012  318  30506718      20.91     -14.06       4.39      14.84      0.015
2012  318  30598025      20.50     -13.79       4.61      14.42      0.019
2012  318  30696187      20.68     -14.81       3.98      13.86      0.013
2012  318  30796671      20.83     -14.97       3.41      14.08      0.007
2012  318  30895722      20.94     -14.14       4.61      14.71      0.018
2012  318  30993955      20.97     -14.74       4.59      14.18      0.021
2012  318  31084554      21.00     -15.52       3.12      13.73      0.006
2012  318  31182787      20.83     -14.72       1.66      14.49      0.000
2012  318  31278019      20.98     -11.63       0.72      17.20      0.000
2012  318  31486009      21.63      -6.78     -14.25      14.49      0.803
2012  318  31572646      21.85      -4.55     -16.99      12.92      1.477
2012  318  31673949      21.78      -3.73     -18.17      11.37      2.076
2012  318  31773714      21.89      -4.49     -17.19      12.77      1.577
2012  318  31873552      22.11      -5.45     -16.68      13.32      1.415
2012  318  31967964      22.13      -6.30     -15.38      14.54      0.993
2012  318  32069949      21.82      -7.71     -12.01      16.37      0.373
2012  318  32162042      21.78      -9.89      -7.88      17.58      0.075
2012  318  32256451      21.70     -10.19      -5.40      18.31      0.016
2012  318  32360072      21.59     -10.45      -5.34      18.12      0.015
2012  318  32462162      21.47     -10.78      -5.56      17.69      0.019
2012  318  32559535      21.32     -10.76      -4.66      17.79      0.009
2012  318  32654769      21.33     -10.87      -3.04      17.81      0.002
2012  318  32755183      21.12     -10.47       1.43      18.22      0.000
2012  318  32848066      20.98     -10.04      -3.50      17.90      0.003
2012  318  32946394      21.11      -9.23      -5.56      18.06      0.017
2012  318  33049207      21.05     -10.37      -0.60      18.31      0.000
2012  318  33140472      21.07     -10.23      -2.08      18.29      0.000
2012  318  33244847      21.07      -9.63      -2.98      18.48      0.001
2012  318  33343082      20.99      -9.37      -3.69      18.41      0.003
2012  318  33442847      20.94     -11.29      -0.35      17.60      0.000
2012  318  33542582      21.02     -11.43      -0.22      17.56      0.000
2012  318  33640988      21.06     -12.10      -1.24      16.50      0.000
2012  318  33730011      20.97     -11.40       5.53      16.69      0.023
2012  318  33834382      20.89     -11.36       3.24      17.17      0.003
2012  318  33926476      21.11     -11.26       1.48      17.79      0.000
2012  318  34024707      21.09     -11.62       2.61      17.40      0.001
2012  318  34122941      20.97     -11.77       3.63      16.97      0.004
2012  318  34221171      20.92     -12.47       3.64      16.40      0.005
2012  318  34322335      20.97     -12.85       3.61      16.17      0.005
2012  318  34420707      21.15     -11.27       4.45      17.33      0.009
2012  318  34518941      21.12     -11.92       5.70      16.46      0.027
2012  318  34614101      21.11     -12.04       5.97      16.20      0.034
2012  318  34711484      20.89     -12.05      11.44      12.39      0.602
2012  318  34811929      20.98     -11.04      13.27      11.81      1.004
2012  318  34908624      20.98     -11.01      12.93      12.30      0.865
2012  318  35003929      21.00     -11.77      12.54      12.04      0.834
2012  318  35098949      21.04     -12.31      12.15      11.96      0.779
