                                        Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Psw         Pb        Pth        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3       nPa        nPa        nPa               
2011  252  28821632       1.92      -1.00      -1.39      -0.85     -26.42     234.30      316.1       14.7        9.0    1.74830    0.00147    0.00163      1.110
2011  252  28918359       2.03      -1.50      -1.22      -0.58     -16.81     219.00      313.2       15.7        9.1    1.72897    0.00163    0.00187      1.142
2011  252  29016478       1.97      -1.38      -1.25      -0.59     -17.64     222.26      314.8       16.8        9.9    1.90682    0.00155    0.00235      1.515
2011  252  29114599       1.99      -1.20      -1.43      -0.62     -18.20     229.96      314.6       15.3        9.2    1.76815    0.00157    0.00180      1.146
2011  252  29212716       2.00      -1.35      -1.26      -0.75     -22.04     223.11      314.0       14.9        8.8    1.68719    0.00159    0.00164      1.029
2011  252  29310835       2.03      -1.22      -1.42      -0.76     -22.14     229.29      313.8       14.9        8.8    1.68906    0.00163    0.00163      1.000
2011  252  29408955       1.95      -1.23      -1.36      -0.68     -20.28     227.89      313.4       15.1        8.9    1.70212    0.00151    0.00170      1.127
2011  252  29500800       1.93      -1.23      -1.33      -0.66     -20.05     227.38      313.6       16.2        9.0    1.71891    0.00148    0.00198      1.337
2011  252  29608259       1.92      -1.30      -1.22      -0.70     -21.35     223.33      313.2       15.5        9.2    1.75088    0.00146    0.00185      1.266
2011  252  29703312       1.85      -1.24      -1.14      -0.74     -23.79     222.60      312.8       14.7        8.7    1.64944    0.00136    0.00158      1.165
2011  252  29801431       1.89      -1.34      -1.11      -0.72     -22.57     219.60      312.0       15.0        8.7    1.63617    0.00141    0.00164      1.156
2011  252  29899550       1.99      -1.37      -1.31      -0.59     -17.36     223.52      310.6       15.2        8.6    1.61278    0.00157    0.00167      1.061
2011  252  29997669       1.87      -1.07      -1.34      -0.71     -22.54     231.44      311.4       15.1        8.6    1.62554    0.00139    0.00165      1.180
2011  252  30095789       1.76      -0.42      -1.31      -1.07     -37.76     252.29      310.6       16.1        9.2    1.71525    0.00123    0.00199      1.624
2011  252  30195300       1.77       0.16      -1.06      -1.35     -51.45     278.61      314.8       14.5        8.5    1.63827    0.00125    0.00151      1.209
2011  252  30292027       1.83      -0.44      -1.30      -1.10     -38.92     251.25      312.3       15.6        8.8    1.66272    0.00133    0.00179      1.352
2011  252  30390146       2.02      -1.77      -0.78      -0.14      -4.22     203.89      312.1       15.4        7.9    1.49436    0.00162    0.00157      0.974
2011  252  30480599       2.17      -2.06      -0.63       0.08       2.10     196.98      311.4       16.8        7.9    1.48859    0.00187    0.00186      0.997
2011  252  30589451       2.18      -2.15      -0.23       0.25       6.64     186.03      311.0       16.3        8.5    1.59090    0.00190    0.00188      0.989
2011  252  30684503       2.11      -2.01      -0.32       0.53      14.49     188.91      313.5       17.1        8.6    1.64459    0.00177    0.00212      1.195
2011  252  30782623       2.13      -2.08      -0.34       0.19       5.13     189.29      312.1       15.4        8.2    1.54576    0.00180    0.00163      0.901
2011  252  30880742       2.16      -2.05      -0.36       0.48      12.97     190.10      312.9       16.3        8.4    1.59382    0.00186    0.00186      0.996
2011  252  30978861       2.26      -1.90      -0.61       1.04      27.45     197.85      313.4       16.4        8.3    1.59075    0.00204    0.00188      0.924
2011  252  31076980       2.36      -1.68      -1.17       1.03      26.84     214.79      310.5       15.6        7.3    1.35794    0.00221    0.00148      0.669
2011  252  31175099       2.50      -2.20      -0.28       1.05      25.24     187.15      312.2       17.5        7.7    1.46038    0.00249    0.00199      0.799
2011  252  31273216       2.31      -2.02       0.02       1.10      28.69     179.34      311.0       16.5        8.6    1.61912    0.00212    0.00198      0.932
2011  252  31371335       2.21      -1.99      -0.02       0.91      24.52     180.54      311.8       16.4        8.8    1.65938    0.00194    0.00199      1.027
2011  252  31461789       2.18      -2.07      -0.35       0.58      15.57     189.59      313.3       17.2        8.8    1.67827    0.00189    0.00218      1.152
2011  252  31570640       2.08      -1.99      -0.31       0.48      13.40     188.87      313.0       16.3        8.8    1.67347    0.00171    0.00196      1.147
2011  252  31665693       1.86      -1.83      -0.24       0.17       5.41     187.42      313.1       16.9        8.3    1.57362    0.00137    0.00198      1.440
2011  252  31763812       1.92      -1.86      -0.38       0.14       4.19     191.58      313.9       16.5        8.0    1.53624    0.00147    0.00184      1.248
2011  252  31863464       2.02      -1.76      -0.62       0.30       9.03     199.29      314.6       16.1        7.7    1.48427    0.00163    0.00167      1.024
