Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Psw         Pb        Pth    
                          nPa        nPa        nPa    
2011  252    394713    1.20378    0.00243    0.00145
2011  252    491404    1.20750    0.00237    0.00141
2011  252    590951    1.16826    0.00254    0.00143
2011  252    689070    1.18015    0.00249    0.00136
2011  252    787189    1.20372    0.00241    0.00147
2011  252    883880    1.18882    0.00244    0.00127
2011  252    982034    1.19279    0.00233    0.00127
2011  252   1072347    1.22415    0.00236    0.00198
2011  252   1181302    1.20693    0.00233    0.00133
2011  252   1276355    1.21302    0.00225    0.00143
2011  252   1374509    1.19907    0.00215    0.00132
2011  252   1472629    1.18078    0.00218    0.00129
2011  252   1570748    1.19413    0.00219    0.00145
2011  252   1668831    1.13583    0.00222    0.00114
2011  252   1766986    1.15496    0.00228    0.00118
2011  252   1865104    1.15568    0.00251    0.00126
2011  252   1963224    1.17753    0.00254    0.00125
2011  252   2053536    1.20751    0.00243    0.00182
2011  252   2162527    1.19401    0.00236    0.00141
2011  252   2257581    1.17769    0.00235    0.00127
2011  252   2357092    1.21047    0.00231    0.00125
2011  252   2453783    1.19466    0.00234    0.00117
2011  252   2553330    1.21000    0.00226    0.00128
2011  252   2650021    1.19048    0.00232    0.00116
2011  252   2748140    1.19845    0.00237    0.00120
2011  252   2846259    1.19915    0.00242    0.00120
2011  252   2945806    1.19496    0.00234    0.00122
2011  252   3034691    1.23844    0.00234    0.00174
2011  252   3145110    1.19882    0.00217    0.00120
2011  252   3240163    1.19247    0.00220    0.00124
2011  252   3336854    1.14558    0.00226    0.00117
2011  252   4124908    1.19745    0.00208    0.00124
2011  252   4219960    1.25410    0.00187    0.00125
2011  252   4318080    1.19338    0.00195    0.00117
2011  252   4413132    1.20194    0.00192    0.00120
2011  252   4509578    1.25523    0.00178    0.00122
2011  252   4606304    1.19716    0.00181    0.00117
2011  252   4704423    1.23659    0.00174    0.00126
2011  252   4802541    1.19613    0.00185    0.00118
2011  252   4902054    1.20746    0.00191    0.00121
2011  252   4990975    1.23703    0.00183    0.00174
2011  252   5099964    1.23714    0.00169    0.00119
2011  252   5195018    1.22125    0.00170    0.00113
2011  252   5293137    1.24645    0.00179    0.00133
2011  252   5392648    1.23461    0.00195    0.00138
2011  252   5489374    1.20100    0.00187    0.00123
2011  252   5587494    1.21447    0.00176    0.00129
2011  252   5685612    1.18557    0.00197    0.00123
2011  252   5782198    1.16805    0.00207    0.00117
2011  252   5878608    1.16174    0.00206    0.00114
2011  252   5972164    1.26227    0.00203    0.00196
2011  252   6078088    1.22521    0.00169    0.00121
2011  252   6170076    1.21645    0.00166    0.00121
2011  252   6268194    1.33051    0.00169    0.00124
2011  252   6366313    1.32102    0.00172    0.00126
2011  252   6464433    1.25341    0.00174    0.00114
2011  252   6657604    1.27962    0.00179    0.00118
2011  252   6757256    1.27765    0.00185    0.00115
2011  252   6853842    1.26151    0.00213    0.00117
2011  252   6945829    1.29259    0.00252    0.00146
2011  252   7053146    1.22506    0.00266    0.00110
2011  252   7149732    1.27380    0.00253    0.00115
2011  252   7247852    1.30007    0.00258    0.00115
2011  252   7347503    1.28583    0.00254    0.00125
2011  252   7444089    1.23980    0.00257    0.00106
2011  252   7542891    1.24717    0.00262    0.00110
2011  252   7641860    1.35097    0.00178    0.00120
2011  252   7738447    1.66451    0.00097    0.00167
2011  252   7833359    1.61469    0.00082    0.00166
2011  252   7922279    1.40471    0.00142    0.00165
2011  252   8031271    1.39097    0.00182    0.00127
2011  252   8129249    1.59229    0.00125    0.00146
2011  252   8225835    1.58912    0.00121    0.00146
2011  252   8325488    1.83087    0.00078    0.00151
2011  252   8415940    1.71205    0.00079    0.00133
2011  252   8520333    1.79926    0.00066    0.00140
2011  252   8618451    1.82320    0.00057    0.00144
2011  252   8716571    1.87456    0.00050    0.00149
2011  252   8814549    1.74380    0.00071    0.00132
2011  252   8903469    1.96689    0.00043    0.00198
2011  252   9009254    1.91588    0.00045    0.00148
2011  252   9110438    1.88590    0.00056    0.00144
2011  252   9208558    1.85824    0.00068    0.00138
2011  252   9305144    1.86563    0.00066    0.00138
2011  252   9401730    1.80381    0.00044    0.00173
2011  252   9496783    1.77355    0.00060    0.00161
2011  252   9594900    1.77308    0.00064    0.00168
2011  252   9693020    1.82960    0.00076    0.00170
2011  252   9785006    1.76413    0.00082    0.00152
2011  252   9878526    1.79486    0.00088    0.00203
2011  252   9984311    1.79210    0.00091    0.00171
2011  252  10085497    1.76878    0.00096    0.00160
2011  252  10177483    1.83768    0.00103    0.00170
2011  252  10275601    1.78454    0.00127    0.00176
2011  252  10373720    1.74183    0.00137    0.00179
2011  252  10471839    1.64259    0.00162    0.00155
2011  252  10569958    1.82159    0.00138    0.00168
2011  252  10668078    1.76058    0.00130    0.00165
2011  252  10772330    1.79300    0.00135    0.00174
2011  252  10859716    1.76117    0.00132    0.00214
2011  252  10965500    1.66008    0.00138    0.00164
2011  252  11063620    1.81425    0.00142    0.00149
2011  252  11155607    1.82241    0.00131    0.00156
2011  252  11253725    1.94712    0.00125    0.00173
2011  252  11351985    1.91156    0.00107    0.00167
2011  252  11449963    1.85615    0.00134    0.00157
2011  252  11837840    1.88189    0.00131    0.00196
2011  252  11943624    1.89779    0.00110    0.00169
2011  252  12038677    1.90658    0.00088    0.00171
2011  252  12136796    1.87677    0.00067    0.00161
2011  252  12234916    1.96043    0.00043    0.00182
