             Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz        Psw         Pb        Pth    
                           nT         nT         nT         nT        nPa        nPa        nPa    
2011  252    394713       2.47      -0.66       2.37       0.23    1.20378    0.00243    0.00145
2011  252    491404       2.44      -0.73       2.32       0.21    1.20750    0.00237    0.00141
2011  252    590951       2.53      -0.68       2.42       0.20    1.16826    0.00254    0.00143
2011  252    689070       2.50      -0.69       2.39       0.17    1.18015    0.00249    0.00136
2011  252    787189       2.46      -0.57       2.39      -0.13    1.20372    0.00241    0.00147
2011  252    883880       2.48      -0.60       2.40       0.14    1.18882    0.00244    0.00127
2011  252    982034       2.42      -0.89       2.25       0.04    1.19279    0.00233    0.00127
2011  252   1072347       2.44      -0.80       2.30       0.06    1.22415    0.00236    0.00198
2011  252   1181302       2.42      -0.81       2.28       0.08    1.20693    0.00233    0.00133
2011  252   1276355       2.38      -0.97       2.14       0.32    1.21302    0.00225    0.00143
2011  252   1374509       2.33      -1.22       1.97       0.15    1.19907    0.00215    0.00132
2011  252   1472629       2.34      -1.17       2.03      -0.05    1.18078    0.00218    0.00129
2011  252   1570748       2.34      -1.28       1.96      -0.12    1.19413    0.00219    0.00145
2011  252   1668831       2.36      -1.30       1.95      -0.18    1.13583    0.00222    0.00114
2011  252   1766986       2.39      -1.29       1.98       0.16    1.15496    0.00228    0.00118
2011  252   1865104       2.51      -1.22       2.17      -0.29    1.15568    0.00251    0.00126
2011  252   1963224       2.53      -1.18       2.22      -0.27    1.17753    0.00254    0.00125
2011  252   2053536       2.47      -1.22       2.13      -0.24    1.20751    0.00243    0.00182
2011  252   2162527       2.43      -1.31       2.02      -0.29    1.19401    0.00236    0.00141
2011  252   2257581       2.43      -1.40       1.98      -0.16    1.17769    0.00235    0.00127
2011  252   2357092       2.41      -1.40       1.95      -0.01    1.21047    0.00231    0.00125
2011  252   2453783       2.43      -1.40       1.97      -0.11    1.19466    0.00234    0.00117
2011  252   2553330       2.38      -1.29       2.00      -0.16    1.21000    0.00226    0.00128
2011  252   2650021       2.41      -1.37       1.96      -0.27    1.19048    0.00232    0.00116
2011  252   2748140       2.44      -1.29       2.05      -0.32    1.19845    0.00237    0.00120
2011  252   2846259       2.47      -1.25       2.10      -0.32    1.19915    0.00242    0.00120
2011  252   2945806       2.42      -1.18       2.09      -0.30    1.19496    0.00234    0.00122
2011  252   3034691       2.43      -1.20       2.09      -0.27    1.23844    0.00234    0.00174
2011  252   3145110       2.34      -1.16       2.01      -0.27    1.19882    0.00217    0.00120
2011  252   3240163       2.35      -1.33       1.91      -0.32    1.19247    0.00220    0.00124
2011  252   3336854       2.38      -1.49       1.81      -0.40    1.14558    0.00226    0.00117
2011  252   4124908       2.28      -1.51       1.70      -0.24    1.19745    0.00208    0.00124
2011  252   4219960       2.17      -1.40       1.65      -0.15    1.25410    0.00187    0.00125
2011  252   4318080       2.21      -1.42       1.68      -0.22    1.19338    0.00195    0.00117
2011  252   4413132       2.20      -1.43       1.63      -0.34    1.20194    0.00192    0.00120
2011  252   4509578       2.11      -1.35       1.60      -0.29    1.25523    0.00178    0.00122
2011  252   4606304       2.13      -1.40       1.58      -0.31    1.19716    0.00181    0.00117
2011  252   4704423       2.09      -1.40       1.53      -0.21    1.23659    0.00174    0.00126
2011  252   4802541       2.16      -1.30       1.70      -0.27    1.19613    0.00185    0.00118
2011  252   4902054       2.19      -1.28       1.77      -0.13    1.20746    0.00191    0.00121
2011  252   4990975       2.15      -1.41       1.56      -0.41    1.23703    0.00183    0.00174
2011  252   5099964       2.06      -1.16       1.68      -0.07    1.23714    0.00169    0.00119
2011  252   5195018       2.07      -1.18       1.67      -0.24    1.22125    0.00170    0.00113
2011  252   5293137       2.12      -1.27       1.66      -0.34    1.24645    0.00179    0.00133
2011  252   5392648       2.21      -1.36       1.67      -0.48    1.23461    0.00195    0.00138
2011  252   5489374       2.17      -1.35       1.64      -0.41    1.20100    0.00187    0.00123
2011  252   5587494       2.11      -1.28       1.62      -0.40    1.21447    0.00176    0.00129
2011  252   5685612       2.22      -1.41       1.62      -0.57    1.18557    0.00197    0.00123
2011  252   5782198       2.28      -1.53       1.54      -0.67    1.16805    0.00207    0.00117
2011  252   5878608       2.27      -1.42       1.57      -0.80    1.16174    0.00206    0.00114
2011  252   5972164       2.26      -1.48       1.59      -0.62    1.26227    0.00203    0.00196
2011  252   6078088       2.06      -1.39       1.27      -0.83    1.22521    0.00169    0.00121
2011  252   6170076       2.04      -1.36       1.25      -0.82    1.21645    0.00166    0.00121
2011  252   6268194       2.06      -1.42       1.48       0.11    1.33051    0.00169    0.00124
2011  252   6366313       2.08      -1.44       1.48       0.23    1.32102    0.00172    0.00126
2011  252   6464433       2.09      -1.53       1.40       0.20    1.25341    0.00174    0.00114
2011  252   6657604       2.12      -1.50       1.33       0.67    1.27962    0.00179    0.00118
2011  252   6757256       2.16      -1.50       1.38       0.72    1.27765    0.00185    0.00115
