                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252    394713       2.47      -0.66       2.37       0.23       5.31     105.50      324.5     -324.1      -15.7        6.0
2011  252    491404       2.44      -0.73       2.32       0.21       4.86     107.59      324.1     -323.6      -16.8        5.6
2011  252    590951       2.53      -0.68       2.42       0.20       4.53     105.60      324.4     -324.0      -15.7        5.0
2011  252    689070       2.50      -0.69       2.39       0.17       3.92     106.02      324.3     -323.9      -16.2        5.1
2011  252    787189       2.46      -0.57       2.39      -0.13      -2.98     103.50      324.7     -324.3      -15.5        4.6
2011  252    883880       2.48      -0.60       2.40       0.14       3.17     104.14      323.7     -323.3      -16.6        4.3
2011  252    982034       2.42      -0.89       2.25       0.04       1.04     111.64      323.5     -323.1      -15.6        5.5
2011  252   1072347       2.44      -0.80       2.30       0.06       1.36     109.09      322.6     -322.1      -16.3        4.6
2011  252   1181302       2.42      -0.81       2.28       0.08       1.85     109.64      323.5     -323.1      -16.3        4.1
2011  252   1276355       2.38      -0.97       2.14       0.32       7.74     114.46      323.0     -322.5      -16.3        4.0
2011  252   1374509       2.33      -1.22       1.97       0.15       3.78     121.81      322.8     -322.4      -16.4        4.4
2011  252   1472629       2.34      -1.17       2.03      -0.05      -1.11     120.01      322.7     -322.3      -15.3        4.7
2011  252   1570748       2.34      -1.28       1.96      -0.12      -2.97     123.09      323.6     -323.2      -15.9        4.8
2011  252   1668831       2.36      -1.30       1.95      -0.18      -4.35     123.65      323.4     -323.0      -15.5        5.1
2011  252   1766986       2.39      -1.29       1.98       0.16       3.81     122.99      323.0     -322.5      -15.9        6.1
2011  252   1865104       2.51      -1.22       2.17      -0.29      -6.54     119.38      321.6     -321.2      -15.9        4.8
2011  252   1963224       2.53      -1.18       2.22      -0.27      -6.13     117.94      323.1     -322.7      -15.2        4.1
2011  252   2053536       2.47      -1.22       2.13      -0.24      -5.63     119.81      322.3     -321.8      -15.8        5.6
2011  252   2162527       2.43      -1.31       2.02      -0.29      -6.95     122.88      323.6     -323.3      -14.1        4.5
2011  252   2257581       2.43      -1.40       1.98      -0.16      -3.76     125.28      323.2     -322.8      -15.9        4.5
2011  252   2357092       2.41      -1.40       1.95      -0.01      -0.30     125.70      324.2     -323.8      -16.1        4.4
2011  252   2453783       2.43      -1.40       1.97      -0.11      -2.51     125.31      323.5     -323.1      -15.8        4.0
2011  252   2553330       2.38      -1.29       2.00      -0.16      -3.97     122.85      323.7     -323.4      -15.1        3.9
2011  252   2650021       2.41      -1.37       1.96      -0.27      -6.47     125.10      323.5     -323.0      -16.0        4.1
2011  252   2748140       2.44      -1.29       2.05      -0.32      -7.47     122.13      323.3     -322.9      -15.9        3.9
2011  252   2846259       2.47      -1.25       2.10      -0.32      -7.48     120.65      323.4     -322.9      -16.3        3.8
2011  252   2945806       2.42      -1.18       2.09      -0.30      -7.20     119.38      324.2     -323.8      -15.9        3.3
2011  252   3034691       2.43      -1.20       2.09      -0.27      -6.30     119.96      323.3     -322.9      -16.5        3.6
2011  252   3145110       2.34      -1.16       2.01      -0.27      -6.66     120.02      324.3     -324.0      -14.7        2.7
2011  252   3240163       2.35      -1.33       1.91      -0.32      -7.89     124.73      323.6     -323.2      -14.8        2.8
2011  252   3336854       2.38      -1.49       1.81      -0.40      -9.60     129.35      322.8     -322.4      -15.8        3.8
2011  252   4124908       2.28      -1.51       1.70      -0.24      -6.08     131.55      321.0     -320.7      -13.7        3.6
2011  252   4219960       2.17      -1.40       1.65      -0.15      -3.93     130.28      322.0     -321.8      -13.3        3.1
2011  252   4318080       2.21      -1.42       1.68      -0.22      -5.60     130.31      322.0     -321.7      -13.6        4.0
2011  252   4413132       2.20      -1.43       1.63      -0.34      -9.00     131.14      321.4     -321.1      -13.5        3.9
2011  252   4509578       2.11      -1.35       1.60      -0.29      -7.83     130.20      323.0     -322.8      -12.8        3.2
