                            Wind MFI and SWE Data, 1 hour resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252   1766986       2.43      -1.13       2.10      -0.10      -2.48     118.18      323.0     -322.5      -15.9        6.1
2011  252   5392648       2.20      -1.45       1.58      -0.28      -7.30     132.62      322.5     -322.1      -14.8        3.2
2011  252   9009254       1.63      -0.04       0.27      -0.18     -33.65      99.41      326.6     -326.5       -6.2       -0.8
2011  252  12627391       1.48       1.04      -0.78      -0.26     -11.54     323.11      328.8     -328.7       -4.3       -2.5
2011  252  16169016       1.77       0.17      -0.55      -1.44     -68.22     287.35      323.2     -323.1       -8.2        0.3
2011  252  19799281       1.97       0.13      -0.58      -1.80     -71.77     282.81      325.1     -325.0       -7.7        1.8
2011  252  23429826       1.79      -0.15      -1.29      -0.98     -36.98     263.21      321.5     -321.4       -7.3        1.7
2011  252  26957511       1.64      -0.82      -1.05      -0.64     -25.75     232.15      318.6     -318.5       -7.2        0.5
2011  252  30589451       1.98      -1.49      -0.81      -0.11      -3.86     208.42      311.0     -310.9       -9.7       -2.9
2011  252  34216789       1.87      -1.40      -0.93      -0.63     -20.66     213.57      314.7     -314.5      -10.5        0.9
2011  252  37755207       1.93      -1.39      -1.11      -0.35     -11.08     218.62      331.8     -331.6      -13.6       -0.4
2011  252  41391750       3.36      -1.79      -0.47       1.17      32.46     194.61      340.2     -339.6      -16.9       -9.6
2011  252  45022156      17.53       1.90     -12.16      -5.39     -23.66     278.90      406.4     -406.2       -3.1       13.6
2011  252  52177863      18.94       4.45      13.24      -2.42      -9.85      71.40      447.2     -445.4       40.1        1.9
2011  252  55830660      19.43       1.50       9.88     -14.95     -56.25      81.39      508.6     -498.6       80.6       59.9
2011  252  66602328       8.69      -2.61       5.61       2.75      23.98     114.93      569.0     -536.9      147.7      116.9
2011  252  70238875       8.01      -2.19       6.80      -1.08      -8.62     107.89      545.9     -525.1      136.6       60.7
2011  252  73755804       5.94       1.06       1.60      -4.07     -64.75      56.58      523.2     -512.6       75.5       72.7
2011  252  77378328       7.99      -4.65      -2.55      -1.78     -18.58     208.78      531.8     -530.2       40.3        4.8
2011  252  81019648       9.02      -1.87      -5.50       0.15       1.50     251.19      527.1     -522.1       67.9       25.7
2011  252  84643875      10.10      -0.62      -5.55      -6.53     -49.45     263.58      516.1     -510.6       20.7      -72.2
2011  253  26981835       9.84      -4.24      -6.38      -5.67     -36.51     236.38      493.8     -493.5      -16.5       -3.2
2011  253  30615314      12.41      -4.19      -8.62      -3.09     -17.88     244.08      493.8     -493.2      -20.9      -12.5
2011  253  34242691       9.66       0.97      -1.68       8.54      77.19     299.99      479.8     -479.6        7.5        8.9
2011  253  37778054      10.20       0.77      -4.45       8.38      61.68     279.76      480.5     -480.0       21.1        7.5
2011  253  41410140      12.85       0.70      -6.42      10.95      59.46     276.19      480.1     -480.1       -1.6        0.2
2011  253  70239476       9.64       6.98       3.31      -0.99      -7.31      25.38      492.5     -483.8       47.7      -78.6
2011  253  73764781       9.82       6.21       3.08       3.40      26.11      26.40      468.7     -468.2        0.0      -21.2
2011  253  77387671      10.27       4.35      -6.78       4.36      28.41     302.72      490.6     -490.5        0.5      -10.1
2011  253  81028812       5.66       3.46      -2.55       2.70      32.10     323.63      579.4     -578.5      -30.8        9.6
2011  253  84566421       5.37       4.22       0.49       0.67       8.95       6.60      563.4     -563.0       10.0       20.3
