             Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs      Vth         Np        Psw         Pb        Pth        Beta       Mms    
                          km/s       cm^3       nPa        nPa        nPa                          
2011  252    394713       17.2        5.9    1.20378    0.00243    0.00145      0.596      10.61
2011  252    491404       16.8        5.9    1.20750    0.00237    0.00141      0.592      10.78
2011  252    590951       17.3        5.7    1.16826    0.00254    0.00143      0.562      10.38
2011  252    689070       16.8        5.8    1.18015    0.00249    0.00136      0.547      10.59
2011  252    787189       17.3        5.9    1.20372    0.00241    0.00147      0.611      10.59
2011  252    883880       16.1        5.8    1.18882    0.00244    0.00127      0.519      10.86
2011  252    982034       16.1        5.9    1.19279    0.00233    0.00127      0.545      11.02
2011  252   1072347       19.8        6.1    1.22415    0.00236    0.00198      0.838       9.95
2011  252   1181302       16.3        5.9    1.20693    0.00233    0.00133      0.568      10.97
2011  252   1276355       16.9        6.0    1.21302    0.00225    0.00143      0.634      10.91
2011  252   1374509       16.3        5.9    1.19907    0.00215    0.00132      0.615      11.17
2011  252   1472629       16.2        5.8    1.18078    0.00218    0.00129      0.590      11.12
2011  252   1570748       17.2        5.9    1.19413    0.00219    0.00145      0.662      10.87
2011  252   1668831       15.6        5.6    1.13583    0.00222    0.00114      0.513      11.18
2011  252   1766986       15.8        5.7    1.15496    0.00228    0.00118      0.521      11.08
2011  252   1865104       16.2        5.8    1.15568    0.00251    0.00126      0.502      10.63
2011  252   1963224       16.0        5.8    1.17753    0.00254    0.00125      0.492      10.71
2011  252   2053536       19.1        6.0    1.20751    0.00243    0.00182      0.750      10.04
2011  252   2162527       16.9        5.9    1.19401    0.00236    0.00141      0.597      10.73
2011  252   2257581       16.1        5.8    1.17769    0.00235    0.00127      0.538      10.93
2011  252   2357092       15.9        5.9    1.21047    0.00231    0.00125      0.543      11.16
2011  252   2453783       15.5        5.9    1.19466    0.00234    0.00117      0.501      11.20
2011  252   2553330       16.0        6.0    1.21000    0.00226    0.00128      0.564      11.18
2011  252   2650021       15.4        5.9    1.19048    0.00232    0.00116      0.502      11.24
2011  252   2748140       15.6        5.9    1.19845    0.00237    0.00120      0.503      11.13
2011  252   2846259       15.6        5.9    1.19915    0.00242    0.00120      0.495      11.06
2011  252   2945806       15.8        5.9    1.19496    0.00234    0.00122      0.521      11.12
2011  252   3034691       18.4        6.1    1.23844    0.00234    0.00174      0.741      10.38
2011  252   3145110       15.6        5.9    1.19882    0.00217    0.00120      0.553      11.40
2011  252   3240163       15.9        5.9    1.19247    0.00220    0.00124      0.564      11.25
2011  252   3336854       15.7        5.7    1.14558    0.00226    0.00117      0.520      11.08
2011  252   4124908       15.7        6.0    1.19745    0.00208    0.00124      0.597      11.45
2011  252   4219960       15.5        6.2    1.25410    0.00187    0.00125      0.666      12.01
2011  252   4318080       15.4        5.9    1.19338    0.00195    0.00117      0.601      11.79
